# mu sigma av_time av_div samples_div samples_multiple_eq samples_with_deaths av_m std_m  runtime_conv(s)  std_runtime_conv(s)  nsamples
0.000 0.398 2157.402600 51.541800 3258 3321 10000 333071496.015292 2184891950.754112 0.000906 0.003706 10000
0.000 0.402 2281.773800 55.396900 3504 3573 10000 349305560.185073 2022869365.278125 0.001074 0.004222 10000
0.000 0.406 2442.883600 59.917400 3800 3875 10000 380299652.167461 2131675058.186805 0.001111 0.004353 10000
0.000 0.410 2582.122200 64.196100 4092 4171 10000 397364276.336181 2007275698.161609 0.001165 0.004286 10000
0.000 0.414 2720.292700 68.911300 4409 4489 10000 491783669.759639 2631001220.760784 0.001160 0.003895 10000
0.000 0.418 2835.398200 73.340800 4693 4781 10000 498729440.720348 2450012393.512187 0.001360 0.004857 10000
0.000 0.422 2941.199200 78.124500 5006 5099 10000 565335415.535149 2609469801.423254 0.001288 0.004411 10000
0.000 0.426 3030.720200 82.740900 5291 5387 10000 571232180.578336 2603945140.625821 0.001380 0.004223 10000
0.000 0.430 3133.363500 87.120100 5558 5662 10000 582506446.540511 2519225861.840251 0.001696 0.005443 10000
0.003 0.398 2173.538400 51.044100 3224 3289 10000 309687981.850947 2004126847.279711 0.000835 0.003210 10000
0.003 0.402 2305.553300 55.015500 3470 3543 10000 339943572.508390 2003666201.326890 0.000982 0.003962 10000
0.003 0.406 2454.159100 59.262300 3748 3825 10000 397971843.879329 2398209791.249901 0.001029 0.003855 10000
0.003 0.410 2598.383400 63.534800 4038 4122 10000 401939836.321087 2221440254.415595 0.001150 0.004288 10000
0.003 0.414 2740.759300 68.015900 4334 4418 10000 437449996.006352 2233755333.966550 0.001237 0.004575 10000
0.003 0.418 2854.814500 72.771400 4635 4728 10000 476137396.443186 2337126578.480968 0.001276 0.004265 10000
0.003 0.422 2979.252900 77.523400 4935 5033 10000 542352871.701396 2728222020.337387 0.001369 0.004341 10000
0.003 0.426 3074.069300 82.056200 5235 5334 10000 572271173.066108 2687402304.697511 0.001396 0.004413 10000
0.003 0.430 3171.583500 86.406100 5507 5616 10000 542961535.062762 2325292595.290588 0.001554 0.004896 10000
0.006 0.398 2169.449500 50.497600 3165 3234 10000 303425814.715372 1991825865.808373 0.000836 0.003284 10000
0.006 0.402 2328.821500 54.632100 3436 3507 10000 318697258.187101 1899157753.463472 0.000978 0.003836 10000
0.006 0.406 2464.217900 58.717400 3691 3771 10000 330687678.763652 1961677934.152402 0.001061 0.003986 10000
0.006 0.410 2625.684100 63.130700 3988 4073 10000 371676263.314460 2113100687.825990 0.001092 0.004012 10000
0.006 0.414 2757.520100 67.710500 4284 4376 10000 419208809.347389 2236149164.336839 0.001424 0.004736 10000
0.006 0.418 2904.773500 72.546800 4597 4695 10000 483983300.886184 2600205107.198950 0.001527 0.005155 10000
0.006 0.422 3008.167500 76.934800 4875 4977 10000 498457904.759108 2430167360.832360 0.001644 0.005264 10000
0.006 0.426 3119.189800 81.493300 5166 5273 10000 550705412.513767 2639256259.607222 0.001827 0.006188 10000
0.006 0.430 3209.313600 86.074200 5457 5568 10000 575717027.721580 2584495308.699315 0.001980 0.006154 10000
0.009 0.398 2179.127300 49.820000 3118 3193 10000 280352637.972495 1760552220.200262 0.001116 0.004605 10000
0.009 0.402 2339.635900 54.214000 3388 3464 10000 291768137.579442 1731565641.147643 0.001212 0.004567 10000
0.009 0.406 2483.484600 58.266800 3660 3743 10000 325104894.058357 1917390478.980266 0.001234 0.004571 10000
0.009 0.410 2635.431900 62.692600 3934 4025 10000 367753033.185584 2106567845.199116 0.001357 0.005007 10000
0.009 0.414 2786.054700 67.228000 4227 4324 10000 377076001.726927 1967114024.382586 0.001496 0.005426 10000
0.009 0.418 2931.841400 71.993900 4532 4634 10000 431539856.428232 2235735890.771045 0.001583 0.005526 10000
0.009 0.422 3043.351500 76.374500 4812 4923 10000 486726836.921456 2599768793.621412 0.001844 0.006372 10000
0.009 0.426 3155.319400 80.942000 5105 5216 10000 532668620.794258 2878380357.342092 0.001870 0.006088 10000
0.009 0.430 3250.338600 85.440400 5399 5508 10000 572246247.917767 2669704117.845513 0.002008 0.006226 10000
0.012 0.402 2350.361300 53.910800 3349 3429 10000 276909251.505031 1716146051.514194 0.001137 0.004278 10000
0.012 0.406 2502.617400 57.857900 3616 3707 10000 313305296.480603 1872649718.438135 0.001221 0.004960 10000
0.012 0.410 2649.070300 62.257300 3882 3979 10000 318920472.302393 1790542575.768386 0.001304 0.004843 10000
0.012 0.414 2800.320100 66.780200 4169 4272 10000 375184815.575372 2224111119.010204 0.001442 0.005163 10000
0.012 0.418 2952.254100 71.354200 4473 4578 10000 421769568.018335 2305797232.973769 0.001610 0.005844 10000
0.012 0.422 3066.407900 75.917300 4762 4877 10000 488117314.907112 2661376897.964899 0.001518 0.004999 10000
0.012 0.426 3170.374500 80.275000 5043 5155 10000 489955028.878282 2392414417.348112 0.001589 0.004772 10000
0.012 0.430 3310.164700 84.932500 5346 5461 10000 540497457.248640 2651822908.425981 0.001897 0.005986 10000
0.012 0.434 3419.572600 90.008000 5669 5794 10000 581810171.391463 2799763530.762650 0.001907 0.005977 10000
0.015 0.402 2365.650100 53.346400 3313 3398 10000 275780034.756989 1672423575.260922 0.001064 0.004239 10000
0.015 0.406 2524.446500 57.519600 3583 3678 10000 309326262.507821 1951176876.715259 0.001162 0.004712 10000
0.015 0.410 2656.483800 61.726500 3836 3939 10000 307177896.201722 1731477901.487677 0.001237 0.004678 10000
0.015 0.414 2817.215900 66.062400 4120 4227 10000 338981892.377186 1871023418.235798 0.001346 0.004894 10000
0.015 0.418 2967.158000 70.702500 4413 4526 10000 410232584.257651 2287697577.476595 0.001616 0.005730 10000
0.015 0.422 3097.717900 75.269200 4700 4819 10000 420825410.749113 2237547752.780742 0.001571 0.005270 10000
0.015 0.426 3213.394500 79.605000 4984 5103 10000 448264323.802482 2343201811.816351 0.001794 0.005754 10000
0.015 0.430 3343.092900 84.480800 5290 5408 10000 505855552.705403 2605233830.182436 0.001855 0.005808 10000
0.015 0.434 3468.539000 89.624500 5620 5745 10000 562167764.641412 2586216711.828651 0.001797 0.005684 10000
0.018 0.402 2376.146300 52.959400 3272 3365 10000 271079861.822262 1969497668.482239 0.001140 0.004616 10000
0.018 0.406 2540.309700 57.254800 3543 3643 10000 298329491.289400 1997885232.713799 0.001198 0.004823 10000
0.018 0.410 2680.879700 61.213500 3798 3904 10000 306358166.979850 1808501472.968129 0.001342 0.005483 10000
0.018 0.414 2826.316500 65.697000 4065 4173 10000 361516007.255065 2377640946.178285 0.001365 0.005181 10000
0.018 0.418 2986.017100 70.264400 4355 4472 10000 352195980.461790 1954877288.652308 0.001564 0.005477 10000
0.018 0.422 3111.384800 74.686600 4639 4764 10000 433973669.452987 2451128938.358403 0.001571 0.005347 10000
0.018 0.426 3242.849300 79.434100 4933 5056 10000 490798557.969632 2744643004.530915 0.001730 0.005918 10000
0.018 0.430 3374.380300 84.127600 5243 5368 10000 480100393.593191 2437901010.879474 0.001750 0.005399 10000
0.018 0.434 3509.705900 89.068400 5552 5681 10000 502780045.190339 2338059558.388243 0.001828 0.005901 10000
0.021 0.402 2373.832300 52.613300 3231 3325 10000 263031619.533970 1675171446.411800 0.001043 0.004301 10000
