# mu sigma av_time av_div samples_div samples_multiple_eq samples_with_deaths av_m std_m nsamples
-0.800 0.000 79.058500 512.000000 10000 10000 0 29703541460.000000 2446390810.606420 10000
-0.800 0.010 79.050000 512.000000 10000 10000 0 29658953440.000000 2188551343.967630 10000
-0.800 0.020 79.027300 512.000000 10000 10000 0 29568098870.000000 1613671152.870628 10000
-0.800 0.030 79.008800 512.000000 10000 10000 0 29637062650.000000 1452581720.921983 10000
-0.800 0.040 78.956700 512.000000 10000 10000 0 29539905120.000000 2033656436.937075 10000
-0.800 0.050 78.773100 512.000000 10000 10000 0 28425577170.000000 3050121692.040306 10000
-0.800 0.060 78.497000 512.000000 10000 10000 0 26622376170.000000 3346364763.202901 10000
-0.800 0.070 78.225900 512.000000 10000 10000 0 25005492440.000000 3153248973.381054 10000
-0.800 0.080 77.963700 512.000000 10000 10000 0 23646134750.000000 3094448435.740470 10000
-0.800 0.090 77.685500 512.000000 10000 10000 0 22336947114.000000 3166554550.774029 10000
-0.800 0.100 77.381700 512.000000 10000 10000 0 21007392608.000000 3232028456.719823 10000
-0.800 0.110 77.061800 512.000000 10000 10000 0 19720330150.000000 3261515472.017116 10000
-0.800 0.120 76.727800 512.000000 10000 10000 0 18494098266.000000 3275396730.181686 10000
-0.800 0.130 76.387600 512.000000 10000 10000 0 17370112351.000000 3287541768.301805 10000
-0.800 0.140 76.020600 512.000000 10000 10000 0 16239684088.000000 3322365016.276576 10000
-0.800 0.150 75.648500 512.000000 10000 10000 0 15198643053.000000 3285989684.883071 10000
-0.800 0.160 75.256100 512.000000 10000 10000 0 14186106537.000000 3252463379.955499 10000
-0.750 0.000 88.996600 512.000000 10000 10000 0 38384156080.000000 554005910.235971 10000
-0.750 0.010 88.978400 512.000000 10000 10000 0 38294733250.000000 1410306638.646549 10000
-0.750 0.020 88.792000 512.000000 10000 10000 0 36750041660.000000 3513713549.984476 10000
-0.750 0.030 88.412400 512.000000 10000 10000 0 33485208870.000000 3910839660.414840 10000
-0.750 0.040 88.146500 512.000000 10000 10000 0 31470237410.000000 2902255163.644237 10000
-0.750 0.050 87.936800 512.000000 10000 10000 0 30245792350.000000 2827547485.308731 10000
-0.750 0.060 87.650500 512.000000 10000 10000 0 28611816050.000000 3188737344.975706 10000
-0.750 0.070 87.326200 512.000000 10000 10000 0 26870666110.000000 3295729753.066055 10000
-0.750 0.080 86.979200 512.000000 10000 10000 0 25177668244.000000 3344802485.157652 10000
-0.750 0.090 86.613100 512.000000 10000 10000 0 23561527813.000000 3391125453.814065 10000
-0.750 0.100 86.231600 512.000000 10000 10000 0 22049522944.000000 3463422358.914876 10000
-0.750 0.110 85.818300 512.000000 10000 10000 0 20539180798.000000 3522388311.263185 10000
-0.750 0.120 85.398800 512.000000 10000 10000 0 19171876825.000000 3526649566.324408 10000
-0.750 0.130 84.951200 512.000000 10000 10000 0 17842416800.000000 3586071646.885269 10000
-0.750 0.140 84.485000 512.000000 10000 10000 0 16572438451.000000 3554290563.482733 10000
-0.750 0.150 83.997300 512.000000 10000 10000 0 15369477490.000000 3537627779.948485 10000
-0.750 0.160 83.502900 512.000000 10000 10000 0 14283723078.000000 3512072001.753807 10000
-0.750 0.170 82.988800 512.000000 10000 10000 0 13248429690.000000 3455989325.953939 10000
-0.750 0.180 82.455200 512.000000 10000 10000 0 12276351601.100000 3409183691.545916 10000
