# mu sigma av_time av_div samples_div samples_multiple_eq samples_with_deaths av_m std_m  runtime_conv(s)  std_runtime_conv(s)  nsamples
0.000 0.416 1837.400900 33.502000 3774 3943 0 1687846302.096108 3782799032.507547 0.028264 0.042285 10000
0.000 0.420 1877.065500 37.135900 4074 4254 0 1786675717.418920 3853204813.048845 0.017646 0.022776 10000
0.000 0.424 1920.966400 40.834900 4365 4546 0 1946254897.056862 4001519356.155622 0.019448 0.025105 10000
0.000 0.428 1946.568400 44.962800 4666 4840 0 1955855567.125124 3849301254.094160 0.020466 0.025604 10000
0.000 0.432 1978.671900 49.004400 4946 5125 0 2087023079.097306 4025611218.429227 0.020557 0.026115 10000
0.000 0.436 1999.701700 53.478400 5254 5441 0 2131702947.689471 3954167503.719123 0.022905 0.026876 10000
0.003 0.420 1856.429600 33.620000 3932 4119 0 1719943751.203728 3753827188.018445 0.018189 0.024495 10000
0.003 0.424 1894.255100 37.104300 4202 4396 0 1825307948.832396 3826517312.149213 0.018507 0.024308 10000
0.003 0.428 1927.724400 41.141800 4514 4708 0 1964067267.236488 3941979451.522635 0.019917 0.025323 10000
0.003 0.432 1957.296800 45.076500 4806 4999 0 1996266957.919694 3886830858.536304 0.016889 0.021110 10000
0.003 0.436 1982.837000 49.215400 5092 5290 0 2103672593.860022 4004961167.814037 0.017986 0.022420 10000
0.003 0.440 2015.066600 53.694300 5390 5593 0 2150385695.636132 3936842250.876797 0.019954 0.024284 10000
0.006 0.424 1866.539700 34.058100 4074 4280 0 1761973500.787543 3798557652.225520 0.014912 0.019209 10000
0.006 0.428 1908.660000 37.719200 4353 4560 0 1916045689.634761 3970367294.169097 0.019849 0.025687 10000
0.006 0.432 1931.299800 41.486300 4648 4863 0 1932100339.100048 3812589451.439663 0.020646 0.026127 10000
0.006 0.436 1967.028900 45.426000 4939 5161 0 2034615075.105493 3904731210.151321 0.021426 0.026842 10000
0.006 0.440 1993.068300 49.550400 5238 5465 0 2132347402.858875 4032912100.809839 0.021354 0.026143 10000
0.006 0.444 2028.251500 53.850900 5526 5745 0 2180240766.827012 3942854313.299019 0.021514 0.026722 10000
0.009 0.424 1844.450800 30.815400 3926 4137 0 1725953019.104835 3818736526.218573 0.016134 0.021806 10000
0.009 0.428 1884.289200 34.259300 4200 4428 0 1789965202.743258 3752690133.345737 0.017445 0.022734 10000
0.009 0.432 1912.137200 37.926900 4493 4723 0 1939774720.450153 3934524968.080862 0.017793 0.023247 10000
0.009 0.436 1942.059000 41.555000 4792 5033 0 1958714053.347101 3806237920.032444 0.018169 0.022788 10000
0.009 0.440 1973.169000 45.544300 5083 5327 0 2059152235.235586 3904458085.692462 0.021346 0.025966 10000
0.009 0.444 2007.095400 49.647000 5369 5610 0 2111677063.027896 3893386770.120524 0.020679 0.026001 10000
0.012 0.429 1870.866500 32.304100 4138 4377 0 1739630949.797363 3701665239.024620 0.016386 0.021505 10000
0.012 0.433 1899.007700 35.622700 4417 4669 0 1891637338.516968 3869446221.744396 0.029511 0.041362 10000
0.012 0.437 1930.230600 39.127100 4720 4977 0 1941820148.794231 3805084630.385403 0.030398 0.041658 10000
0.012 0.441 1962.498900 42.926100 5004 5260 0 2007204689.793357 3805049643.762515 0.032191 0.043933 10000
0.012 0.445 1992.260400 46.636100 5290 5553 0 2107758092.041022 3945736239.914297 0.034636 0.047679 10000
0.012 0.449 2024.387100 50.854200 5597 5855 0 2172381335.674849 3933654912.778958 0.036318 0.048429 10000
0.015 0.431 1867.647200 31.095400 4140 4396 0 1724325873.593362 3654255147.498126 0.027696 0.039248 10000
0.015 0.435 1894.622100 34.220100 4408 4677 0 1880068500.071722 3840898741.756578 0.023154 0.029377 10000
0.015 0.439 1923.882900 37.454400 4716 4993 0 1936324947.434561 3829501902.776031 0.024226 0.029670 10000
0.015 0.443 1958.584200 41.309500 5002 5284 0 1985916479.810418 3739938169.447943 0.025263 0.030706 10000
0.015 0.447 1989.652300 45.039700 5293 5571 0 2095637449.858209 3941302437.835822 0.026217 0.031590 10000
0.018 0.429 1818.741900 26.979000 3848 4114 0 1666666607.269256 3768239313.597525 0.021164 0.027484 10000
0.018 0.433 1865.916400 30.102500 4146 4423 0 1720520568.869158 3669461368.648725 0.021587 0.027198 10000
0.018 0.437 1887.266900 32.893400 4403 4687 0 1871965513.789593 3869255876.123891 0.023115 0.029285 10000
0.018 0.441 1919.261700 36.141100 4705 5003 0 1924619528.525672 3804718661.982545 0.024277 0.030321 10000
0.018 0.445 1955.055200 39.819700 4992 5293 0 1973153855.043418 3737987323.046504 0.025261 0.031124 10000
0.018 0.449 1985.771600 43.390200 5292 5590 0 2082767692.310659 3921417019.362948 0.034110 0.046316 10000
0.021 0.432 1828.809600 26.417000 3931 4215 0 1663761431.648483 3693764725.581387 0.027096 0.039033 10000
0.021 0.436 1868.828300 29.320300 4212 4507 0 1753747534.104609 3690553998.920281 0.028180 0.040095 10000
0.021 0.440 1889.901500 32.096600 4480 4796 0 1862238877.798711 3766782671.243277 0.023162 0.029161 10000
0.021 0.444 1919.801800 35.539300 4766 5082 0 1927641183.472262 3777344113.184239 0.024246 0.030363 10000
0.021 0.448 1960.034900 39.142100 5065 5383 0 1976556983.480311 3711708153.868997 0.025372 0.031071 10000
0.021 0.452 1987.510900 42.682200 5358 5670 0 2084455795.778483 3897781477.965443 0.026611 0.032216 10000
0.024 0.432 1800.228200 24.227500 3786 4086 0 1612897364.139090 3624430497.650995 0.021358 0.027811 10000
0.024 0.436 1843.846900 26.733500 4057 4375 0 1704317109.119860 3692861607.865672 0.022315 0.029692 10000
0.024 0.440 1870.190900 29.573900 4342 4671 0 1803383155.908375 3695320309.187235 0.028930 0.041110 10000
0.024 0.444 1898.688500 32.567900 4622 4955 0 1907588856.880899 3841865773.025496 0.030549 0.042707 10000
0.024 0.448 1934.273500 36.144100 4912 5256 0 1929861381.235561 3704300103.628501 0.032156 0.044422 10000
0.024 0.452 1972.590400 39.715400 5221 5561 0 2006680084.847777 3747824274.584381 0.026828 0.031907 10000
0.027 0.436 1819.155200 24.532500 3926 4258 0 1646621374.223681 3651590734.674756 0.021814 0.028573 10000
0.027 0.440 1855.038300 27.162100 4207 4554 0 1727065893.514837 3640449837.141037 0.022598 0.028684 10000
0.027 0.444 1875.934900 30.117300 4471 4820 0 1840491072.234447 3733388817.792053 0.023801 0.029650 10000
0.027 0.448 1914.561300 33.203000 4771 5136 0 1890381445.867465 3687563251.298227 0.024672 0.030650 10000
0.027 0.452 1950.797600 36.515800 5053 5427 0 1951053912.787988 3706943879.877242 0.026096 0.032466 10000
0.027 0.456 1978.524200 39.998400 5351 5706 0 2063141090.116781 3867150288.367712 0.026324 0.031954 10000
0.030 0.432 1732.152600 19.941100 3507 3843 0 1525172813.524579 3562609731.319304 0.019837 0.025839 10000
0.030 0.436 1789.830100 22.425200 3784 4138 0 1573098601.290313 3524403398.555056 0.026859 0.039919 10000
0.030 0.440 1831.562100 24.937300 4069 4436 0 1677739405.816820 3647515611.687900 0.027657 0.039925 10000
0.030 0.444 1862.719000 27.496400 4338 4715 0 1784842828.809149 3700506810.442666 0.022503 0.028707 10000
0.030 0.448 1892.746100 30.533100 4615 5015 0 1866307935.647199 3752488443.244412 0.023765 0.030153 10000
0.030 0.452 1925.184300 33.825200 4913 5310 0 1916901338.440058 3713455723.303293 0.024353 0.029826 10000
0.033 0.438 1787.427900 21.691100 3788 4158 0 1543940185.436205 3438738492.640512 0.021383 0.028211 10000
0.033 0.442 1826.377800 24.109800 4068 4465 0 1663128251.942238 3603883790.566070 0.022803 0.029489 10000
0.033 0.446 1858.998900 26.608400 4344 4762 0 1783769656.626852 3736646580.786017 0.023615 0.029656 10000
0.033 0.450 1889.358400 29.563600 4617 5046 0 1847342608.206136 3677744719.513232 0.025150 0.032061 10000
0.033 0.454 1922.052100 32.692800 4907 5328 0 1898553092.858400 3702244394.824882 0.024478 0.030237 10000
0.033 0.458 1955.291200 35.902000 5201 5616 0 1982240786.711283 3732366027.824989 0.025378 0.030508 10000
0.036 0.443 1817.905100 22.719900 4010 4437 0 1666919450.183939 3692349419.409455 0.021033 0.026860 10000
0.036 0.447 1846.856000 25.040700 4262 4710 0 1745072690.611675 3682980541.144003 0.022433 0.028987 10000
0.036 0.451 1876.616300 27.928200 4537 4992 0 1812237306.621130 3624267590.126902 0.023943 0.031104 10000
0.036 0.455 1911.625100 30.870200 4835 5291 0 1881507323.830895 3696062723.899843 0.024429 0.030199 10000
0.036 0.459 1944.921100 33.966700 5134 5580 0 1945135771.709002 3679346364.142866 0.025162 0.030313 10000
0.039 0.441 1763.728700 19.808600 3721 4165 0 1517977988.564747 3408135742.678344 0.020638 0.027186 10000
0.039 0.445 1813.107400 22.020300 4011 4467 0 1656940681.292437 3668056417.891546 0.021148 0.027319 10000
0.039 0.449 1841.558900 24.376400 4266 4733 0 1731807027.402826 3644253883.660471 0.022710 0.029194 10000
0.039 0.453 1870.715200 27.093700 4541 5017 0 1809895158.948250 3642658027.018532 0.024077 0.031046 10000
0.039 0.457 1907.377900 29.997500 4827 5323 0 1871566247.281536 3685492073.760343 0.025365 0.031844 10000
0.039 0.461 1940.738600 32.942100 5135 5615 0 1940625659.130407 3695437299.535864 0.026285 0.031613 10000
0.042 0.444 1770.323500 19.691100 3793 4272 0 1535855134.650352 3437026273.943562 0.026706 0.039113 10000
0.042 0.448 1816.255900 21.752200 4075 4568 0 1664688906.426067 3641130577.586139 0.027647 0.040204 10000
0.042 0.452 1846.155000 24.100400 4339 4839 0 1718912006.577294 3566554257.254104 0.029402 0.042912 10000
0.042 0.456 1878.672100 26.866000 4622 5145 0 1806070475.746746 3617852742.718332 0.030692 0.044307 10000
