-0.321	0.064	0.068
-0.309	0.088	0.092
-0.297	0.100	0.104
-0.285	0.112	0.116
-0.273	0.124	0.128
-0.261	0.136	0.140
-0.249	0.144	0.148
-0.237	0.152	0.156
-0.225	0.164	0.168
-0.213	0.172	0.176
-0.201	0.180	0.184
-0.189	0.188	0.192
-0.177	0.196	0.200
-0.165	0.200	0.204
-0.153	0.208	0.212
-0.141	0.216	0.220
-0.129	0.224	0.228
-0.117	0.228	0.232
-0.105	0.236	0.240
-0.093	0.240	0.244
-0.081	0.248	0.252
-0.069	0.256	0.260
-0.057	0.260	0.264
-0.045	0.264	0.268
-0.033	0.272	0.276
-0.021	0.276	0.280
-0.009	0.284	0.288
0.003	0.288	0.292
0.015	0.292	0.296
0.027	0.296	0.300
0.039	0.300	0.304
0.051	0.308	0.312
0.063	0.312	0.316
0.075	0.320	0.324
0.087	0.320	0.324
0.099	0.328	0.332
0.111	0.332	0.336
0.123	0.336	0.340
0.135	0.344	0.348
0.147	0.348	0.352
0.159	0.352	0.356
0.171	0.356	0.360
0.183	0.360	0.364
0.195	0.364	0.368
0.207	0.368	0.372
0.219	0.372	0.376
0.231	0.380	0.384
0.243	0.384	0.388
0.255	0.388	0.392
0.267	0.392	0.396
0.279	0.396	0.400
0.291	0.400	0.404
0.303	0.404	0.408
0.315	0.408	0.412
0.327	0.412	0.416
0.339	0.416	0.420
0.351	0.420	0.424
