# mu sigma av_time av_div samples_div samples_multiple_eq samples_with_deaths av_m std_m nsamples
-0.800 0.000 79.003200 1024.000000 10000 10000 0 29121545730.000000 596702225.704429 10000
-0.800 0.010 79.002000 1024.000000 10000 10000 0 29155776820.000000 524650867.549851 10000
-0.800 0.020 79.001300 1024.000000 10000 10000 0 29293555210.000000 632517752.041498 10000
-0.800 0.030 78.996700 1024.000000 10000 10000 0 29498893860.000000 911755699.147942 10000
-0.800 0.040 78.944100 1024.000000 10000 10000 0 29413858530.000000 1934458891.960362 10000
-0.800 0.050 78.696900 1024.000000 10000 10000 0 27805959660.000000 3372418896.852742 10000
-0.800 0.060 78.325600 1024.000000 10000 10000 0 25254058210.000000 3318786727.938414 10000
-0.800 0.070 78.056900 1024.000000 10000 10000 0 23680104280.000000 2570286891.057242 10000
-0.800 0.080 77.819000 1024.000000 10000 10000 0 22579267850.000000 2666307765.340967 10000
-0.800 0.090 77.504100 1024.000000 10000 10000 0 21117586202.000000 2990907831.404132 10000
-0.800 0.100 77.162800 1024.000000 10000 10000 0 19615612333.000000 2943815635.428711 10000
-0.800 0.110 76.817600 1024.000000 10000 10000 0 18262036145.000000 2884756047.682602 10000
-0.800 0.120 76.466100 1024.000000 10000 10000 0 17034326991.000000 2910531967.752548 10000
-0.800 0.130 76.084300 1024.000000 10000 10000 0 15793320810.000000 2902846287.612724 10000
-0.800 0.140 75.691800 1024.000000 10000 10000 0 14640241125.000000 2878329128.015980 10000
-0.800 0.150 75.289300 1024.000000 10000 10000 0 13582558271.000000 2885346233.929232 10000
-0.800 0.160 74.856500 1024.000000 10000 10000 0 12515554134.000000 2817967016.366192 10000
-0.800 0.170 74.418700 1024.000000 10000 10000 0 11559474705.000000 2783678483.834528 10000
-0.750 0.000 88.993700 1024.000000 10000 10000 0 38353972810.000000 737252830.069328 10000
-0.750 0.010 88.968400 1024.000000 10000 10000 0 38193661310.000000 1633458604.485403 10000
-0.750 0.020 88.705000 1024.000000 10000 10000 0 35936417090.000000 4042457724.125138 10000
-0.750 0.030 88.222600 1024.000000 10000 10000 0 31734242820.000000 3464950689.855205 10000
-0.750 0.040 88.022200 1024.000000 10000 10000 0 30336008240.000000 1874101974.231694 10000
-0.750 0.050 87.867200 1024.000000 10000 10000 0 29649952340.000000 2554530468.793052 10000
-0.750 0.060 87.509700 1024.000000 10000 10000 0 27537398350.000000 3270380597.824565 10000
-0.750 0.070 87.130900 1024.000000 10000 10000 0 25433756840.000000 2955695170.100029 10000
-0.750 0.080 86.784500 1024.000000 10000 10000 0 23832336340.000000 2966829890.271796 10000
-0.750 0.090 86.388100 1024.000000 10000 10000 0 22121410840.000000 3060494558.380379 10000
-0.750 0.100 85.961200 1024.000000 10000 10000 0 20439610311.000000 3084348063.439152 10000
-0.750 0.110 85.527100 1024.000000 10000 10000 0 18925164479.000000 3108021454.255410 10000
-0.750 0.120 85.057700 1024.000000 10000 10000 0 17422133617.000000 3100816116.346835 10000
-0.750 0.130 84.574400 1024.000000 10000 10000 0 16047457777.000000 3107106851.123615 10000
-0.750 0.140 84.072100 1024.000000 10000 10000 0 14760688162.000000 3096437083.190690 10000
-0.750 0.150 83.546400 1024.000000 10000 10000 0 13545297161.000000 3060306485.706867 10000
-0.750 0.160 83.000700 1024.000000 10000 10000 0 12409317799.000000 3009169068.314077 10000
-0.750 0.170 82.435100 1024.000000 10000 10000 0 11351179283.500000 2948603753.819404 10000
-0.750 0.180 81.859400 1024.000000 10000 10000 0 10394348466.299999 2872107825.479508 10000
-0.750 0.190 81.251300 1024.000000 10000 10000 0 9471364409.299999 2794047623.117308 10000
-0.750 0.200 80.640000 1024.000000 10000 10000 0 8654227680.299999 2705934627.929745 10000
-0.700 0.000 100.994800 1024.000000 10000 10000 0 43053346300.000000 673492035.385820 10000
-0.700 0.010 100.955600 1024.000000 10000 10000 0 42790898540.000000 1920233964.345896 10000
-0.700 0.020 100.519600 1024.000000 10000 10000 0 38970706320.000000 4306465403.523776 10000
-0.700 0.030 100.089700 1024.000000 10000 10000 0 35400093360.000000 2451875328.755894 10000
-0.700 0.040 99.911700 1024.000000 10000 10000 0 34499653610.000000 2431543815.875175 10000
-0.700 0.050 99.510900 1024.000000 10000 10000 0 32078412730.000000 3322442444.611539 10000
-0.700 0.060 99.067100 1024.000000 10000 10000 0 29574143970.000000 3045888659.813249 10000
-0.700 0.070 98.626900 1024.000000 10000 10000 0 27462997620.000000 3186078384.373961 10000
-0.700 0.080 98.137000 1024.000000 10000 10000 0 25319399510.000000 3286000066.549073 10000
-0.700 0.090 97.617100 1024.000000 10000 10000 0 23283101181.000000 3319285993.390745 10000
-0.700 0.100 97.065900 1024.000000 10000 10000 0 21360737101.000000 3369329701.642303 10000
-0.700 0.110 96.485800 1024.000000 10000 10000 0 19556903810.000000 3395295953.880025 10000
-0.700 0.120 95.877600 1024.000000 10000 10000 0 17877443430.000000 3427276069.528127 10000
-0.700 0.130 95.230700 1024.000000 10000 10000 0 16264323553.000000 3396881827.497851 10000
-0.700 0.140 94.570400 1024.000000 10000 10000 0 14827066600.000000 3372133945.713258 10000
-0.700 0.150 93.874500 1024.000000 10000 10000 0 13462843126.000000 3306199653.585510 10000
-0.700 0.160 93.148400 1024.000000 10000 10000 0 12197187631.700001 3243827441.462386 10000
-0.700 0.170 92.402400 1024.000000 10000 10000 0 11047623978.299999 3155071070.347199 10000
-0.700 0.180 91.638700 1024.000000 10000 10000 0 10009597290.000000 3047036166.393970 10000
-0.700 0.190 90.840800 1024.000000 10000 10000 0 9032442671.600000 2929802867.849940 10000
-0.700 0.200 90.027600 1024.000000 10000 10000 0 8153553724.700000 2795149435.733654 10000
-0.700 0.210 89.201000 1023.999800 10000 10000 0 7373684806.600000 2684333602.782032 10000
-0.700 0.220 88.364200 1023.999700 10000 10000 0 6671941602.300000 2548963622.167754 10000
-0.700 0.230 87.510000 1023.999000 10000 10000 0 6032622574.100000 2411567361.775726 10000
-0.650 0.000 116.870100 1024.000000 10000 10000 0 50167339130.000000 3269262002.037685 10000
-0.650 0.010 116.460400 1024.000000 10000 10000 0 46294140560.000000 4615360814.399205 10000
-0.650 0.020 116.047700 1024.000000 10000 10000 0 42681917320.000000 1999227551.025154 10000
-0.650 0.030 115.864000 1024.000000 10000 10000 0 41758591060.000000 2740837905.442502 10000
-0.650 0.040 115.327400 1024.000000 10000 10000 0 38178958650.000000 3339940257.953060 10000
-0.650 0.050 114.830100 1024.000000 10000 10000 0 35371156620.000000 3205217205.817990 10000
-0.650 0.060 114.254700 1024.000000 10000 10000 0 32463736100.000000 3417504993.070131 10000
-0.650 0.070 113.637500 1024.000000 10000 10000 0 29713694160.000000 3513109888.581148 10000
-0.650 0.080 112.976700 1024.000000 10000 10000 0 27124284921.000000 3633600501.243880 10000
-0.650 0.090 112.272600 1024.000000 10000 10000 0 24693800930.000000 3733657821.932155 10000
-0.650 0.100 111.521800 1024.000000 10000 10000 0 22402782316.000000 3795258286.013612 10000
-0.650 0.110 110.725900 1024.000000 10000 10000 0 20265322767.000000 3844123210.799412 10000
-0.650 0.120 109.891100 1024.000000 10000 10000 0 18292436631.000000 3815862072.494375 10000
-0.650 0.130 109.014300 1024.000000 10000 10000 0 16471028657.000000 3781737380.223634 10000
-0.650 0.140 108.094700 1024.000000 10000 10000 0 14790273006.000000 3714569383.749424 10000
-0.650 0.150 107.141900 1024.000000 10000 10000 0 13275437149.600000 3639735671.948180 10000
-0.650 0.160 106.146100 1024.000000 10000 10000 0 11871393349.900000 3507619775.261194 10000
-0.650 0.170 105.123400 1024.000000 10000 10000 0 10619815446.000000 3379557518.253154 10000
-0.650 0.180 104.064200 1024.000000 10000 10000 0 9484455472.299999 3241306813.292789 10000
-0.650 0.190 102.991000 1023.999900 10000 10000 0 8485832678.900000 3090841614.468021 10000
-0.650 0.200 101.886000 1023.999700 10000 10000 0 7576988035.300000 2914994505.084868 10000
-0.650 0.210 100.765300 1023.998800 10000 10000 0 6773688348.200000 2745089796.422294 10000
-0.650 0.220 99.623300 1023.996400 10000 10000 0 6056508837.900000 2579597215.079584 10000
-0.650 0.230 98.471100 1023.991300 10000 10000 0 5423994811.000000 2414088188.958394 10000
-0.650 0.240 97.311100 1023.979900 10000 10000 0 4867871122.100000 2260162143.995738 10000
-0.650 0.250 96.141000 1023.960100 10000 10000 0 4373495186.400000 2108474388.616981 10000
-0.600 0.000 138.024400 1024.000000 10000 10000 0 52916410530.000000 1569277484.317639 10000
-0.600 0.010 138.006200 1024.000000 10000 10000 0 52946506600.000000 1068907492.829575 10000
-0.600 0.020 137.837200 1024.000000 10000 10000 0 52091828810.000000 2961503770.471553 10000
-0.600 0.030 137.158700 1024.000000 10000 10000 0 47164915300.000000 3143171068.937177 10000
-0.600 0.040 136.529500 1024.000000 10000 10000 0 43443927790.000000 3450032822.845263 10000
-0.600 0.050 135.798700 1024.000000 10000 10000 0 39620100230.000000 3643069145.260190 10000
-0.600 0.060 135.001200 1024.000000 10000 10000 0 36007224500.000000 3872039012.506637 10000
-0.600 0.070 134.135400 1024.000000 10000 10000 0 32601459041.000000 4086099706.212226 10000
-0.600 0.080 133.193000 1024.000000 10000 10000 0 29357284311.000000 4210133569.540817 10000
-0.600 0.090 132.187300 1024.000000 10000 10000 0 26365294971.000000 4339352439.994020 10000
-0.600 0.100 131.112700 1024.000000 10000 10000 0 23587442277.000000 4411576767.618742 10000
-0.600 0.110 129.975200 1024.000000 10000 10000 0 21042354417.000000 4420313799.442133 10000
-0.600 0.120 128.773600 1024.000000 10000 10000 0 18712145137.000000 4377590477.692418 10000
-0.600 0.130 127.511300 1024.000000 10000 10000 0 16600249116.000000 4309286107.499446 10000
-0.600 0.140 126.184500 1024.000000 10000 10000 0 14675757643.400000 4193776348.308373 10000
-0.600 0.150 124.810400 1024.000000 10000 10000 0 12959356152.200001 4020244374.044695 10000
-0.600 0.160 123.382600 1024.000000 10000 10000 0 11425193291.799999 3849966420.806903 10000
-0.600 0.170 121.916000 1024.000000 10000 10000 0 10073240631.600000 3653443857.602514 10000
-0.600 0.180 120.406500 1023.999700 10000 10000 0 8868134175.500000 3439569690.459307 10000
-0.600 0.190 118.869600 1023.998500 10000 10000 0 7817226246.200000 3221374693.903115 10000
-0.600 0.200 117.299100 1023.996300 10000 10000 0 6889765357.500000 3005664568.949043 10000
-0.600 0.210 115.713300 1023.990000 10000 10000 0 6083613794.800000 2793661476.795839 10000
-0.600 0.220 114.119900 1023.974500 10000 10000 0 5385650556.800000 2579010971.216280 10000
-0.600 0.230 112.503200 1023.945800 10000 10000 0 4766560968.300000 2375660903.768904 10000
-0.600 0.240 110.897200 1023.890900 10000 10000 0 4241879192.400000 2190951848.267272 10000
-0.600 0.250 109.292100 1023.803800 10000 10000 0 3784331400.900000 2017966892.237894 10000
-0.600 0.260 107.684400 1023.665000 10000 10000 0 3381853920.800000 1851364569.854924 10000
-0.600 0.270 106.091300 1023.461200 10000 10000 0 3036618562.700000 1704650887.043042 10000
-0.600 0.280 104.506000 1023.189800 10000 10000 0 2732254054.400000 1563356048.039376 10000
-0.550 0.000 170.000000 1024.000000 10000 10000 0 67349194160.000000 68898069.736402 10000
-0.550 0.010 169.963100 1024.000000 10000 10000 0 67389104610.000000 1899966315.903267 10000
-0.550 0.020 169.170100 1024.000000 10000 10000 0 61185367580.000000 3164521546.426935 10000
-0.550 0.030 168.357100 1024.000000 10000 10000 0 56000038120.000000 3625278509.309321 10000
-0.550 0.040 167.388500 1024.000000 10000 10000 0 50679995600.000000 3989731572.223218 10000
-0.550 0.050 166.299400 1024.000000 10000 10000 0 45589858120.000000 4380755153.933793 10000
-0.550 0.060 165.100800 1024.000000 10000 10000 0 40826168240.000000 4708401663.806499 10000
-0.550 0.070 163.779000 1024.000000 10000 10000 0 36328022191.000000 4983012374.423646 10000
-0.550 0.080 162.364200 1024.000000 10000 10000 0 32260346282.000000 5190464047.992949 10000
-0.550 0.090 160.830500 1024.000000 10000 10000 0 28483175799.000000 5304417307.604708 10000
-0.550 0.100 159.196800 1024.000000 10000 10000 0 25075327264.000000 5344453940.053758 10000
-0.550 0.110 157.439100 1024.000000 10000 10000 0 21923072268.000000 5264141618.862193 10000
-0.550 0.120 155.589500 1024.000000 10000 10000 0 19139654635.799999 5184602720.847094 10000
-0.550 0.130 153.636300 1024.000000 10000 10000 0 16635270727.100000 5015380983.702228 10000
-0.550 0.140 151.598800 1024.000000 10000 10000 0 14428241225.600000 4780986227.584732 10000
-0.550 0.150 149.481300 1024.000000 10000 10000 0 12498660456.900000 4529594496.999812 10000
-0.550 0.160 147.296000 1023.999800 10000 10000 0 10810263844.799999 4229170845.425585 10000
-0.550 0.170 145.047700 1023.998800 10000 10000 0 9344269898.799999 3930297343.333019 10000
-0.550 0.180 142.766300 1023.996300 10000 10000 0 8097769979.000000 3628867747.873431 10000
-0.550 0.190 140.452100 1023.989400 10000 10000 0 7033515699.000000 3349309541.585152 10000
-0.550 0.200 138.106500 1023.969400 10000 10000 0 6106724209.500000 3049386827.899589 10000
-0.550 0.210 135.757000 1023.929200 10000 10000 0 5322639770.500000 2776436335.648644 10000
-0.550 0.220 133.405200 1023.855200 10000 10000 0 4654174478.600000 2517111080.617254 10000
-0.550 0.230 131.058600 1023.728500 10000 10000 0 4085181625.900000 2283536850.459422 10000
-0.550 0.240 128.740700 1023.525200 10000 10000 0 3609016278.400000 2074268705.388147 10000
-0.550 0.250 126.432100 1023.229300 10000 10000 0 3194347059.700000 1877334082.609794 10000
-0.550 0.260 124.163900 1022.808100 10000 10000 0 2845884381.900000 1701427558.120406 10000
-0.550 0.270 121.910400 1022.261400 10000 10000 0 2542356590.300000 1546244901.357829 10000
-0.550 0.280 119.714000 1021.543200 10000 10000 0 2288086884.200000 1405294715.781805 10000
-0.550 0.290 117.552000 1020.640100 10000 10000 0 2069945230.200000 1284776938.825761 10000
-0.550 0.300 115.425400 1019.539800 10000 10000 0 1878346509.100000 1173916306.247909 10000
-0.550 0.310 113.346100 1018.265500 10000 10000 0 1713246251.000000 1075885686.578699 10000
-0.500 0.000 221.000000 1024.000000 10000 10000 0 88852119420.000000 63848068.227765 10000
-0.500 0.010 220.552700 1024.000000 10000 10000 0 85318343480.000000 3676075743.354037 10000
-0.500 0.020 219.432400 1024.000000 10000 10000 0 77233290320.000000 3672354420.670627 10000
-0.500 0.030 218.076100 1024.000000 10000 10000 0 69261751530.000000 4405390307.190041 10000
-0.500 0.040 216.499000 1024.000000 10000 10000 0 61607457770.000000 5024271526.913991 10000
-0.500 0.050 214.730900 1024.000000 10000 10000 0 54543547290.000000 5652136617.488583 10000
-0.500 0.060 212.745200 1024.000000 10000 10000 0 47918534290.000000 6149242628.156768 10000
-0.500 0.070 210.571500 1024.000000 10000 10000 0 41917608954.000000 6525007245.872393 10000
-0.500 0.080 208.184000 1024.000000 10000 10000 0 36408349780.000000 6743135879.369264 10000
-0.500 0.090 205.598900 1024.000000 10000 10000 0 31455304250.000000 6841326635.199545 10000
-0.500 0.100 202.803700 1024.000000 10000 10000 0 26987800037.000000 6769352387.738003 10000
-0.500 0.110 199.823800 1024.000000 10000 10000 0 23061972424.500000 6623178351.750457 10000
-0.500 0.120 196.657200 1024.000000 10000 10000 0 19595739504.599998 6334515816.725662 10000
-0.500 0.130 193.332600 1024.000000 10000 10000 0 16601334015.400000 5971850741.772894 10000
-0.500 0.140 189.872400 1024.000000 10000 10000 0 14041793973.900000 5565287473.917165 10000
-0.500 0.150 186.293900 1023.998900 10000 10000 0 11864711426.900000 5132682524.151081 10000
-0.500 0.160 182.628100 1023.997100 10000 10000 0 10019851513.600000 4666672423.477560 10000
-0.500 0.170 178.907800 1023.988900 10000 10000 0 8484222904.200000 4224325856.504852 10000
-0.500 0.180 175.148700 1023.963400 10000 10000 0 7196218019.300000 3782940265.650563 10000
-0.500 0.190 171.389300 1023.912800 10000 10000 0 6138467180.800000 3390034577.177079 10000
-0.500 0.200 167.637100 1023.810600 10000 10000 0 5252425987.200000 3015330519.793510 10000
-0.500 0.210 163.924200 1023.627200 10000 10000 0 4525868236.900000 2684747941.767570 10000
-0.500 0.220 160.253300 1023.334500 10000 10000 0 3918843053.000000 2386411125.714267 10000
-0.500 0.230 156.645500 1022.885000 10000 10000 0 3416102010.800000 2121108854.244104 10000
-0.500 0.240 153.115300 1022.274600 10000 10000 0 3001473730.200000 1895290874.034893 10000
-0.500 0.250 149.658100 1021.445900 10000 10000 0 2652174577.500000 1694137984.508572 10000
-0.500 0.260 146.285400 1020.372800 10000 10000 0 2358640469.400000 1514134875.491647 10000
-0.500 0.270 142.992300 1019.038600 10000 10000 0 2111279762.400000 1367406064.057163 10000
-0.500 0.280 139.801400 1017.469000 10000 10000 0 1903919046.200000 1236216122.555132 10000
-0.500 0.290 136.691000 1015.618800 10000 10000 0 1723928873.400000 1119354566.893787 10000
-0.500 0.300 133.685200 1013.532900 10000 10000 0 1573085766.700000 1020215385.612909 10000
-0.500 0.310 130.763100 1011.185800 10000 10000 0 1441602598.500000 933260277.593010 10000
-0.500 0.320 127.936700 1008.629300 10000 10000 0 1328263562.430000 854716368.341251 10000
-0.500 0.330 125.200300 1005.898100 10000 10000 0 1230820987.270000 788944262.682744 10000
-0.500 0.340 122.543500 1002.951400 10000 10000 0 1143225031.430000 729788969.753783 10000
-0.450 0.000 315.968100 1024.000000 10000 10000 0 131198273100.000000 1725795963.930017 10000
-0.450 0.010 314.529500 1024.000000 10000 10000 0 118934333880.000000 3566863380.137281 10000
-0.450 0.020 312.486900 1024.000000 10000 10000 0 105668227060.000000 4788810470.857424 10000
-0.450 0.030 309.961200 1024.000000 10000 10000 0 92869437510.000000 6079566980.889569 10000
-0.450 0.040 306.997500 1024.000000 10000 10000 0 81006230060.000000 7226516537.358493 10000
-0.450 0.050 303.594800 1024.000000 10000 10000 0 70121269470.000000 8211177361.785372 10000
-0.450 0.060 299.749100 1024.000000 10000 10000 0 60214745860.000000 8932558918.044327 10000
-0.450 0.070 295.460200 1024.000000 10000 10000 0 51310206449.000000 9431794710.533785 10000
-0.450 0.080 290.708000 1024.000000 10000 10000 0 43312608991.000000 9638599204.569059 10000
-0.450 0.090 285.505700 1024.000000 10000 10000 0 36245433938.000000 9578831546.343836 10000
-0.450 0.100 279.863400 1024.000000 10000 10000 0 30075611149.299999 9304323146.527897 10000
-0.450 0.110 273.825300 1024.000000 10000 10000 0 24778193466.900002 8799765741.648460 10000
-0.450 0.120 267.442300 1024.000000 10000 10000 0 20308481624.200001 8151452050.925197 10000
-0.450 0.130 260.783100 1023.999400 10000 10000 0 16592514654.299999 7411119408.739890 10000
-0.450 0.140 253.919800 1023.997600 10000 10000 0 13537092170.000000 6627715075.668733 10000
-0.450 0.150 246.945100 1023.987900 10000 10000 0 11072568229.900000 5870383320.612438 10000
-0.450 0.160 239.930300 1023.961100 10000 10000 0 9087710444.799999 5136472105.249254 10000
-0.450 0.170 232.945000 1023.891000 10000 10000 0 7502310997.300000 4470012387.280283 10000
-0.450 0.180 226.044300 1023.753000 10000 10000 0 6237054529.600000 3867573243.962677 10000
-0.450 0.190 219.270200 1023.484300 10000 10000 0 5228412232.300000 3353067734.565063 10000
-0.450 0.200 212.660100 1023.039800 10000 10000 0 4417645468.000000 2893372419.642384 10000
-0.450 0.210 206.241900 1022.378300 10000 10000 0 3770819071.700000 2509448259.119256 10000
-0.450 0.220 200.035200 1021.448800 10000 10000 0 3249743040.400000 2183902720.594188 10000
-0.450 0.230 194.047000 1020.208100 10000 10000 0 2825478453.800000 1901938813.128214 10000
-0.450 0.240 188.288000 1018.609700 10000 10000 0 2482774800.000000 1675837068.683753 10000
-0.450 0.250 182.753600 1016.648000 10000 10000 0 2199296864.600000 1481742538.257727 10000
-0.450 0.260 177.442500 1014.347500 10000 10000 0 1964891783.300000 1321379128.610513 10000
-0.450 0.270 172.362000 1011.704000 10000 10000 0 1770547041.300000 1182026390.399351 10000
-0.450 0.280 167.478400 1008.746800 10000 10000 0 1603489136.700000 1064104566.417739 10000
-0.450 0.290 162.813200 1005.456100 10000 10000 0 1464528559.200000 966178411.549784 10000
-0.450 0.300 158.339400 1001.931300 10000 10000 0 1342978790.300000 877633327.650465 10000
-0.450 0.310 154.058600 998.157400 10000 10000 0 1238873933.700000 802242837.968238 10000
