# mu sigma av_time av_div samples_div samples_multiple_eq samples_with_deaths av_m std_m  runtime_conv(s)  std_runtime_conv(s)  nsamples
0.000 0.350 1968.454700 124.796600 2663 2715 10000 71387284.769815 500396713.424267 0.008076 0.021980 10000
0.000 0.354 2190.008700 144.301000 3033 3095 10000 85659547.742475 537978588.128606 0.009023 0.023846 10000
0.000 0.358 2431.839200 166.096800 3432 3504 10000 97040571.095980 593254105.624908 0.009734 0.025477 10000
0.000 0.362 2669.468600 189.380000 3862 3947 10000 121196206.418526 735777721.280517 0.010201 0.024061 10000
0.000 0.366 2901.594500 213.160800 4279 4370 10000 123899978.402651 645944927.244811 0.012219 0.031314 10000
0.000 0.370 3122.374000 239.610000 4739 4828 10000 149172173.778560 776461386.357895 0.019255 0.044806 10000
0.000 0.374 3308.120000 265.641300 5172 5267 10000 148059546.370695 670065394.168402 0.020570 0.045186 10000
0.000 0.378 3481.775000 293.516900 5614 5715 10000 169681829.145124 718560189.198541 0.023325 0.053499 10000
0.000 0.382 3613.094900 323.132600 6052 6161 10000 188981992.837614 752336194.729413 0.024643 0.052925 10000
0.003 0.350 1966.754800 121.832900 2600 2657 10000 63533446.534068 460013373.175916 0.012915 0.036163 10000
0.003 0.354 2200.625400 141.906900 2976 3039 10000 85957418.036869 567684581.163513 0.014374 0.039486 10000
0.003 0.358 2440.978100 163.059800 3371 3447 10000 91877325.982075 581905423.579166 0.015016 0.037407 10000
0.003 0.362 2690.465600 185.796400 3798 3883 10000 102440629.234026 568806011.166489 0.016355 0.042058 10000
0.003 0.366 2920.950000 209.650600 4209 4302 10000 117170264.680027 668908025.094862 0.014380 0.035471 10000
0.003 0.370 3148.361600 235.977100 4659 4752 10000 133118282.596734 654804585.934993 0.015163 0.035239 10000
0.003 0.374 3339.414400 261.753400 5106 5206 10000 147399135.615864 713472448.212963 0.015195 0.031145 10000
0.003 0.378 3538.694100 290.260400 5553 5660 10000 158948320.069341 682026415.339400 0.017435 0.038516 10000
0.003 0.382 3695.678000 319.053000 5992 6099 10000 178308970.194599 741484952.117178 0.018943 0.041768 10000
0.006 0.350 1961.357200 119.972900 2553 2612 10000 58251005.433137 444328586.728675 0.009728 0.023971 10000
0.006 0.354 2214.982100 138.953200 2926 2991 10000 72720008.068449 484021368.232098 0.011273 0.031302 10000
0.006 0.358 2444.436800 159.844000 3311 3388 10000 84979089.282104 538636344.336384 0.011615 0.027763 10000
0.006 0.362 2704.155500 182.879200 3733 3821 10000 99344189.961252 583859574.677164 0.015977 0.039085 10000
0.006 0.366 2940.524500 206.608700 4148 4242 10000 109852729.159036 632829988.163039 0.018013 0.042473 10000
0.006 0.370 3176.204900 232.346500 4586 4679 10000 124729151.449294 663150656.624031 0.019093 0.044369 10000
0.006 0.374 3380.616900 257.694600 5025 5130 10000 145048827.308221 716234331.374151 0.020840 0.047403 10000
0.006 0.378 3596.701900 285.873900 5488 5597 10000 148105337.128646 644525076.188702 0.022512 0.051766 10000
0.006 0.382 3751.483900 314.799800 5917 6028 10000 167577605.018315 721174113.222272 0.024154 0.052261 10000
0.009 0.350 1958.587600 118.143500 2510 2570 10000 56097615.302657 422464492.098012 0.012188 0.032681 10000
0.009 0.354 2220.685800 137.289500 2872 2940 10000 66787615.109596 501033690.246849 0.013421 0.035750 10000
0.009 0.358 2456.603300 156.980900 3256 3335 10000 82692792.061660 550046966.625913 0.011856 0.030981 10000
0.009 0.362 2722.151500 180.106200 3669 3755 10000 93377707.391461 563850781.830747 0.012888 0.033293 10000
0.009 0.366 2976.666900 204.148100 4113 4209 10000 100623615.638898 554029139.308468 0.013501 0.032349 10000
0.009 0.370 3215.399100 229.658600 4532 4628 10000 117340964.094692 690245575.360118 0.014658 0.035021 10000
0.009 0.374 3426.217800 254.654200 4957 5066 10000 132000732.211625 663440965.437156 0.016112 0.038759 10000
0.009 0.378 3652.917400 283.090900 5429 5545 10000 149072701.635225 715144203.328663 0.017364 0.039567 10000
0.009 0.382 3809.386200 311.350200 5855 5971 10000 157323756.389093 669937494.015819 0.018491 0.039631 10000
0.012 0.350 1970.185800 116.287900 2479 2540 10000 53954825.350502 406620909.686688 0.009570 0.026460 10000
0.012 0.354 2223.687000 135.455400 2829 2903 10000 58556358.460447 460936173.022997 0.010605 0.028760 10000
0.012 0.358 2478.524400 154.968500 3203 3284 10000 69692769.674710 479450717.678006 0.012272 0.034830 10000
0.012 0.362 2737.127000 177.334800 3618 3705 10000 88474027.083160 590787831.723526 0.012436 0.030425 10000
0.012 0.366 3003.757600 201.503800 4061 4159 10000 93982771.558971 508529648.423559 0.013388 0.032766 10000
0.012 0.370 3225.874900 226.281400 4467 4568 10000 107590333.391118 588396689.372078 0.014241 0.032638 10000
0.012 0.374 3461.127200 251.994900 4898 5014 10000 124027429.719232 667862560.646448 0.015612 0.034739 10000
0.012 0.378 3695.113800 279.293900 5368 5487 10000 138030179.244991 673121508.413176 0.016575 0.037517 10000
0.012 0.382 3872.429200 307.370600 5805 5924 10000 150966711.559744 666489383.346923 0.017938 0.039389 10000
0.015 0.350 1973.867500 114.940700 2439 2504 10000 54232808.727131 454368845.136187 0.009630 0.026718 10000
0.015 0.354 2216.055200 133.580100 2789 2867 10000 52304126.697806 362372592.249374 0.010169 0.025971 10000
0.015 0.358 2488.633900 153.033500 3156 3242 10000 66249166.828962 474443866.079593 0.011925 0.032088 10000
0.015 0.362 2742.296800 175.040100 3564 3653 10000 76686956.609971 491190037.432530 0.015497 0.037270 10000
0.015 0.366 3032.284600 199.379900 4014 4118 10000 101010286.922563 629087806.680272 0.016533 0.039058 10000
0.015 0.370 3254.234100 223.666300 4417 4527 10000 102142741.578598 556720233.413464 0.018150 0.041680 10000
0.015 0.374 3502.135600 249.510300 4847 4966 10000 112672396.000291 593281602.357074 0.020027 0.045821 10000
0.015 0.378 3737.144000 276.053500 5307 5431 10000 139449968.590150 699938073.673333 0.020764 0.045293 10000
0.015 0.382 3935.398200 304.653000 5752 5878 10000 144307738.871442 638942685.344560 0.022782 0.049425 10000
0.018 0.350 1978.837900 113.277600 2406 2476 10000 48067786.241752 404380916.008588 0.011774 0.032225 10000
0.018 0.354 2230.306900 131.917200 2762 2845 10000 54242672.354003 406214298.054555 0.012521 0.033448 10000
0.018 0.358 2497.154100 151.105000 3122 3210 10000 60576972.955268 452097707.654995 0.014569 0.037665 10000
0.018 0.362 2764.404400 172.769300 3513 3612 10000 65449859.700817 405786276.798604 0.014674 0.039042 10000
0.018 0.366 3046.976000 197.129000 3951 4061 10000 84930331.081083 515831577.321006 0.015496 0.038247 10000
0.018 0.370 3272.622800 220.775100 4360 4474 10000 89305121.961688 476435426.439372 0.016429 0.037576 10000
0.018 0.374 3538.845700 247.066500 4806 4934 10000 111383381.437514 642517329.901023 0.017678 0.041181 10000
