-0.330	0.036	0.040
-0.320	0.088	0.092
-0.310	0.108	0.112
-0.300	0.123	0.133
-0.250	0.179	0.189
-0.200	0.234	0.244
-0.150	0.270	0.280
-0.100	0.315	0.325
-0.050	0.341	0.351
0.000	0.380	0.384
0.003	0.380	0.384
0.006	0.384	0.388
0.009	0.385	0.389
0.012	0.388	0.392
0.015	0.388	0.392
0.018	0.389	0.393
0.021	0.392	0.396
0.024	0.392	0.396
0.027	0.394	0.398
0.030	0.396	0.400
0.033	0.397	0.401
0.036	0.399	0.403
0.039	0.404	0.408
0.042	0.404	0.408
0.045	0.404	0.408
0.048	0.408	0.412
0.051	0.408	0.412
0.054	0.412	0.416
0.057	0.412	0.416
0.060	0.416	0.420
0.063	0.416	0.420
0.066	0.420	0.424
0.069	0.420	0.424
0.072	0.420	0.424
0.075	0.424	0.428
0.078	0.424	0.428
0.081	0.428	0.432
0.084	0.428	0.432
0.087	0.428	0.432
0.090	0.432	0.436
0.093	0.432	0.436
0.096	0.436	0.440
0.099	0.436	0.440
0.102	0.440	0.444
0.105	0.440	0.444
0.108	0.440	0.444
0.111	0.444	0.448
0.114	0.444	0.448
0.117	0.448	0.452
0.120	0.448	0.452
0.123	0.448	0.452
0.126	0.452	0.456
0.129	0.452	0.456
0.132	0.456	0.460
0.135	0.456	0.460
0.138	0.456	0.460
0.141	0.460	0.464
0.144	0.460	0.464
0.147	0.464	0.468
0.150	0.464	0.468
0.153	0.464	0.468
0.156	0.468	0.472
0.159	0.468	0.472
0.162	0.472	0.476
0.165	0.472	0.476
0.168	0.472	0.476
0.171	0.476	0.480
0.174	0.476	0.480
0.177	0.478	0.482
0.180	0.479	0.483
0.183	0.481	0.485
0.186	0.483	0.487
0.189	0.484	0.488
0.192	0.486	0.490
0.195	0.488	0.492
0.198	0.489	0.493
0.201	0.491	0.495
0.204	0.492	0.496
0.207	0.494	0.498
0.210	0.496	0.500
0.213	0.497	0.501
0.216	0.499	0.503
0.219	0.497	0.501
0.222	0.502	0.506
0.225	0.500	0.504
0.228	0.505	0.509
0.231	0.503	0.507
0.234	0.505	0.509
0.237	0.506	0.510
0.240	0.508	0.512
0.243	0.510	0.514
0.246	0.511	0.515
0.249	0.513	0.517
0.252	0.515	0.519
0.255	0.516	0.520
0.258	0.518	0.522
0.261	0.519	0.523
0.264	0.521	0.525
0.267	0.523	0.527
0.270	0.524	0.528
0.273	0.522	0.526
0.276	0.524	0.528
0.279	0.525	0.529
0.282	0.527	0.531
0.285	0.528	0.532
0.288	0.530	0.534
0.291	0.532	0.536
0.294	0.533	0.537
0.297	0.535	0.539
0.300	0.537	0.541
0.303	0.538	0.542
0.306	0.540	0.544
0.309	0.538	0.542
0.312	0.539	0.543
0.315	0.541	0.545
0.318	0.542	0.546
0.321	0.544	0.548
0.324	0.546	0.550
0.327	0.547	0.551
0.330	0.549	0.553
0.333	0.551	0.555
0.336	0.552	0.556
0.339	0.552	0.554
0.342	0.555	0.559
0.345	0.555	0.557
0.348	0.557	0.559
0.351	0.558	0.560
