# mu sigma av_time av_div samples_div samples_multiple_eq samples_with_deaths av_m std_m  runtime_conv(s)  std_runtime_conv(s)  nsamples
0.000 0.392 2056.615500 54.463300 3777 3960 0 901517864.769227 1981654650.090101 0.060187 0.073064 10000
0.000 0.396 2151.416000 62.419200 4181 4362 0 957093503.351960 2001092997.250960 0.061579 0.072141 10000
0.000 0.400 2226.893200 70.668600 4574 4759 0 1076628217.387384 2140565478.940089 0.036591 0.042775 10000
0.000 0.404 2278.790700 79.318900 4964 5155 0 1132309808.220770 2129055086.461145 0.048584 0.057011 10000
0.000 0.408 2313.842200 88.964300 5347 5535 0 1201231571.717257 2143338911.146610 0.048910 0.056802 10000
0.000 0.412 2341.782400 99.063900 5768 5963 0 1288321854.826696 2223505460.836714 0.050361 0.057980 10000
0.003 0.396 2102.169300 54.954500 4002 4196 0 917520933.052922 1948125930.653559 0.039638 0.047892 10000
0.003 0.400 2187.116600 62.906300 4381 4577 0 994731166.863589 2021599237.638002 0.042472 0.051134 10000
0.003 0.404 2239.677300 70.956500 4762 4961 0 1096415147.492043 2106568932.602578 0.035065 0.041333 10000
0.003 0.408 2287.764100 79.784300 5163 5365 0 1172652912.589152 2168947565.799299 0.045128 0.051692 10000
0.003 0.412 2330.533200 88.918000 5573 5788 0 1229004536.942297 2147768977.586986 0.046348 0.052665 10000
0.003 0.416 2333.532800 99.357300 5961 6187 0 1281279158.782115 2152712391.731378 0.046129 0.051474 10000
0.006 0.396 2046.822300 49.031800 3784 3998 0 888441491.758210 1931667882.884522 0.038110 0.048432 10000
0.006 0.400 2139.568000 55.846400 4193 4406 0 952291466.609633 1983278904.298286 0.039253 0.047180 10000
0.006 0.404 2210.468500 63.371800 4579 4793 0 1065614235.331717 2119186394.531399 0.065003 0.074890 10000
0.006 0.408 2261.445400 71.621400 4970 5188 0 1121163140.877616 2110484185.395569 0.068418 0.077325 10000
0.006 0.412 2304.522300 80.113800 5356 5585 0 1192254358.761273 2147224432.974825 0.073038 0.083335 10000
0.006 0.416 2331.838800 89.705600 5772 6008 0 1250840054.133905 2140059685.772221 0.074303 0.082797 10000
0.009 0.396 1990.324100 44.256100 3626 3849 0 849114331.959775 1895701785.323654 0.057342 0.068540 10000
0.009 0.400 2090.540100 49.838800 4016 4241 0 910624341.881727 1941392107.333488 0.036355 0.044171 10000
0.009 0.404 2174.655400 57.010000 4393 4627 0 984805395.080109 1996267900.908067 0.038287 0.046186 10000
0.009 0.408 2227.202200 64.600800 4782 5017 0 1084449335.065494 2089591537.638720 0.040060 0.046687 10000
0.009 0.412 2273.020900 72.434700 5162 5407 0 1152510159.275231 2134806468.456870 0.039538 0.045953 10000
0.009 0.416 2317.091400 81.037500 5583 5836 0 1207038585.434165 2110303032.082668 0.049052 0.056436 10000
0.012 0.401 2064.609500 45.924800 3929 4175 0 891705166.568316 1899070376.953070 0.034193 0.042082 10000
0.012 0.405 2150.206900 52.504400 4296 4546 0 961539682.036358 1978549041.909955 0.035526 0.043223 10000
0.012 0.409 2206.411800 59.274100 4693 4950 0 1057307743.027785 2060649952.042681 0.041090 0.048212 10000
0.012 0.413 2255.161700 66.641100 5069 5338 0 1123754798.125762 2082805686.229462 0.042694 0.049819 10000
0.012 0.417 2302.320800 74.773800 5473 5742 0 1180581891.154404 2089702611.995291 0.073083 0.083580 10000
0.012 0.421 2319.907800 83.590500 5871 6156 0 1247815668.086186 2117656164.979265 0.074419 0.081022 10000
0.015 0.400 1982.557000 40.107100 3639 3887 0 852423874.949722 1906913876.602261 0.058165 0.071671 10000
0.015 0.404 2080.883400 45.437300 4043 4307 0 898662202.636095 1896792226.101592 0.059624 0.070496 10000
0.015 0.408 2158.799500 51.539100 4412 4690 0 976422048.630639 1977150799.335415 0.040348 0.048086 10000
0.015 0.412 2209.468500 58.431600 4795 5077 0 1066062200.529988 2042929730.924778 0.034958 0.040613 10000
0.015 0.416 2261.876100 65.649500 5173 5461 0 1138850910.240274 2103843612.164667 0.047139 0.054823 10000
0.015 0.420 2305.071500 73.563800 5592 5885 0 1188921095.575202 2086775125.698237 0.040089 0.046207 10000
0.018 0.401 1955.370900 36.899300 3577 3846 0 834036360.164035 1876841263.273802 0.034548 0.042522 10000
0.018 0.405 2052.872800 42.188100 3952 4239 0 891126334.758701 1909840894.374688 0.036342 0.044878 10000
0.018 0.409 2134.833300 47.689600 4322 4624 0 954553200.451740 1961710909.118058 0.039311 0.047730 10000
0.018 0.413 2193.561900 53.992700 4700 5004 0 1055575006.653077 2064119929.341268 0.042439 0.050185 10000
0.018 0.417 2246.252600 60.850200 5088 5396 0 1115356051.564987 2077619339.174203 0.042137 0.048972 10000
0.018 0.421 2289.907400 68.507600 5481 5802 0 1162981428.671877 2069615468.369126 0.072960 0.083719 10000
0.021 0.404 1974.577300 36.533500 3677 3971 0 847375906.492438 1884288530.949738 0.057822 0.070627 10000
0.021 0.408 2065.771600 41.503600 4061 4371 0 889003333.126235 1859937408.530830 0.059452 0.070180 10000
0.021 0.412 2150.030700 46.846400 4433 4756 0 972327820.912543 1973347877.792044 0.062934 0.073363 10000
0.021 0.416 2199.938400 53.338400 4796 5130 0 1040754686.728615 1991326463.734287 0.067011 0.077069 10000
0.021 0.420 2251.872000 60.147700 5190 5539 0 1122599188.198157 2066692955.162236 0.042979 0.050001 10000
0.021 0.424 2291.410300 67.554100 5592 5941 0 1177203401.784779 2068266429.622247 0.050580 0.058501 10000
0.024 0.404 1929.549800 32.442900 3521 3836 0 819619015.687780 1882258557.054252 0.029365 0.036562 10000
0.024 0.408 2018.978300 36.932900 3887 4221 0 866656227.630526 1866503611.129163 0.031503 0.038808 10000
0.024 0.412 2105.692200 41.712800 4243 4605 0 925380614.184210 1906892021.536637 0.037881 0.046964 10000
0.024 0.416 2170.252900 47.259100 4624 4991 0 1012711973.742028 1989268484.099720 0.040041 0.047762 10000
0.024 0.420 2225.445500 53.478600 5011 5384 0 1083922282.444820 2043026160.740797 0.068213 0.077609 10000
0.024 0.424 2268.671000 60.418300 5393 5773 0 1139727554.460167 2056749109.320143 0.071175 0.080511 10000
0.027 0.406 1927.621700 30.440600 3540 3895 0 816245468.658479 1862431568.913864 0.033331 0.041398 10000
0.027 0.410 2012.250000 34.854300 3897 4271 0 861072406.453098 1851693725.356472 0.035741 0.044295 10000
0.027 0.414 2104.082000 39.888200 4258 4643 0 921842633.391708 1879494088.064325 0.062272 0.074635 10000
0.027 0.418 2167.045400 45.147100 4645 5036 0 1004521031.249030 1984342196.366080 0.063777 0.072198 10000
0.027 0.422 2220.047600 51.097600 5018 5427 0 1085774318.047279 2061018418.465488 0.041758 0.048795 10000
0.027 0.426 2261.813200 57.743600 5405 5817 0 1124515053.007496 2010922523.006442 0.038339 0.044310 10000
0.030 0.414 2055.598100 35.674100 4103 4510 0 887335265.485492 1867652998.207155 0.041900 0.049470 10000
0.030 0.418 2136.001600 40.308300 4475 4894 0 956816670.342966 1917132044.000417 0.044075 0.052467 10000
0.030 0.422 2192.384300 45.921800 4832 5274 0 1023943957.742450 1969687000.600785 0.045428 0.054707 10000
0.033 0.409 1904.805900 26.669400 3493 3903 0 789316277.560063 1796899167.519648 0.037930 0.047323 10000
0.033 0.413 1987.803000 30.621200 3840 4264 0 852446006.394008 1871431861.545263 0.035203 0.043256 10000
0.033 0.417 2071.348300 35.074900 4191 4641 0 891535397.305251 1835228834.993570 0.037392 0.045383 10000
0.033 0.421 2142.721300 40.040600 4576 5043 0 974216080.327877 1943230494.399625 0.066648 0.076039 10000
0.033 0.425 2200.819700 45.484200 4943 5433 0 1041216861.060980 1986277576.367124 0.067449 0.077064 10000
0.033 0.429 2242.840400 51.280500 5333 5812 0 1090890741.998778 1959755267.141218 0.070215 0.078527 10000
0.036 0.412 1924.855300 26.107700 3601 4048 0 815504921.529504 1838230688.045472 0.055479 0.065539 10000
0.036 0.416 2008.150400 30.127600 3946 4422 0 854181701.822957 1829490652.494502 0.058395 0.069235 10000
0.036 0.420 2090.634800 34.261400 4292 4789 0 911033355.041486 1850634491.886071 0.038243 0.047849 10000
0.036 0.424 2151.470800 39.291100 4673 5192 0 989592222.220854 1950271969.444523 0.039822 0.047268 10000
0.036 0.428 2202.992900 44.694400 5041 5559 0 1074962530.486126 2030301130.617106 0.043482 0.051088 10000
0.036 0.432 2242.553400 50.874600 5428 5947 0 1110472533.616113 1976541521.098325 0.043309 0.050381 10000
0.039 0.405 1767.406900 18.609100 2923 3345 0 649628400.084367 1682388649.219142 0.028784 0.036836 10000
0.039 0.409 1839.719500 21.366300 3218 3676 0 738958552.457016 1779845841.481697 0.030525 0.037929 10000
