# mu sigma av_time av_div samples_div samples_multiple_eq samples_with_deaths av_m std_m  runtime_conv(s)  std_runtime_conv(s)  nsamples
0.000 0.495 1514.506100 12.141600 4243 4428 0 6180576473.746308 13780580998.296162 0.002450 0.004329 10000
0.000 0.499 1511.963200 12.739100 4392 4579 0 6462497586.349526 14172355926.922918 0.002709 0.004680 10000
0.000 0.503 1527.351500 13.337700 4576 4769 0 6757883082.317724 14699941666.604549 0.002564 0.004494 10000
0.000 0.507 1554.828000 14.083300 4770 4970 0 6545758677.703270 13456962994.036245 0.002632 0.004645 10000
0.000 0.511 1581.527200 14.925400 4955 5163 0 6785316057.692533 14005630395.364510 0.002865 0.005023 10000
0.000 0.515 1605.152200 15.735000 5163 5377 0 6972485825.580853 14113967383.117334 0.002793 0.004968 10000
0.003 0.493 1487.671000 11.143200 4025 4220 0 5894085180.330067 13654576871.486982 0.002398 0.004453 10000
0.003 0.497 1511.329300 11.859000 4227 4427 0 6164221458.761093 13760188080.044538 0.002259 0.004148 10000
0.003 0.501 1507.696500 12.486700 4385 4589 0 6397765580.023676 14167845922.983881 0.002485 0.004270 10000
0.003 0.505 1522.969900 13.038700 4558 4765 0 6697396776.482528 14647863989.228312 0.002609 0.004557 10000
0.003 0.509 1541.317700 13.745600 4745 4960 0 6563067008.876821 13630851545.112528 0.002761 0.004780 10000
0.003 0.517 1594.314700 15.385800 5133 5355 0 6905792514.189281 14079586449.404776 0.003735 0.006366 10000
0.003 0.521 1603.132100 16.189200 5345 5566 0 7009656256.197644 13951614737.060078 0.003709 0.005930 10000
0.003 0.525 1597.572600 16.989100 5502 5724 0 7309536216.557500 14570582918.497402 0.003961 0.006445 10000
0.003 0.529 1585.399000 17.813900 5670 5892 0 7674621882.855410 15421204004.615129 0.003961 0.006510 10000
0.003 0.533 1583.630200 18.588700 5876 6103 0 7558452467.927064 14473223208.690758 0.004076 0.006479 10000
0.003 0.537 1575.923400 19.327200 6050 6276 0 7618765485.511930 14417625918.214417 0.004030 0.006462 10000
0.003 0.541 1555.678200 20.186800 6207 6434 0 7817741706.653156 14556471277.054670 0.003967 0.006282 10000
0.006 0.499 1504.036500 11.571200 4208 4421 0 6152843209.058674 13947446181.087332 0.002241 0.004094 10000
0.006 0.503 1507.189300 12.209100 4372 4590 0 6360342911.885243 14149509119.557331 0.002374 0.004159 10000
0.006 0.507 1516.965200 12.708400 4535 4760 0 6680672217.723934 14668854360.886101 0.002628 0.004590 10000
