# mu sigma av_time av_div samples_div samples_multiple_eq samples_with_deaths av_m std_m  runtime_conv(s)  std_runtime_conv(s)  nsamples
0.000 0.368 2107.648700 63.971100 3491 3656 0 436025041.523828 994332639.780155 0.107067 0.119342 10000
0.000 0.372 2238.265600 74.879700 3918 4093 0 486266987.020187 1040275854.227734 0.117319 0.132664 10000
0.000 0.376 2381.997900 87.812000 4424 4620 0 514602061.598453 1034695555.095125 0.121577 0.133299 10000
0.000 0.380 2472.176600 102.511000 4890 5101 0 585500267.611469 1100425063.279169 0.129099 0.139771 10000
0.000 0.384 2507.849500 118.496600 5340 5559 0 629891929.026092 1086922606.879707 0.138573 0.146216 10000
0.000 0.388 2540.328100 135.753200 5826 6044 0 664738648.510600 1087765073.922199 0.146306 0.152291 10000
0.003 0.372 2170.200200 64.894200 3708 3895 0 472331861.437768 1050012887.667513 0.113776 0.129423 10000
0.003 0.376 2315.121300 76.240600 4188 4395 0 493063228.781942 1013023879.225585 0.120617 0.136225 10000
0.003 0.380 2430.066500 89.205900 4675 4904 0 552601039.786681 1071285000.890594 0.125223 0.135222 10000
0.003 0.384 2483.404800 104.009800 5136 5373 0 617548005.766735 1111879080.785613 0.132462 0.138515 10000
0.003 0.388 2521.210600 119.541400 5603 5836 0 651814648.316518 1096247588.134590 0.141458 0.147964 10000
0.003 0.392 2546.403000 136.940100 6078 6310 0 672695388.459320 1069578660.743843 0.148735 0.153826 10000
0.006 0.372 2104.292500 56.087400 3521 3727 0 435931519.833430 985115148.320450 0.108799 0.122386 10000
0.006 0.376 2246.054200 66.448400 3970 4195 0 484659515.186892 1031739220.114676 0.117713 0.133833 10000
0.006 0.380 2384.723900 77.525900 4473 4718 0 516210489.249647 1029287618.018585 0.121208 0.132077 10000
0.006 0.384 2463.289200 90.646400 4931 5183 0 581481187.588271 1076663077.209807 0.128792 0.137759 10000
0.006 0.388 2496.508700 105.346000 5364 5615 0 626564290.929895 1076741172.151109 0.150554 0.163795 10000
0.006 0.392 2530.509200 120.911000 5864 6113 0 661927762.245088 1086619011.256685 0.155112 0.162336 10000
0.009 0.376 2178.668500 57.709500 3763 4006 0 466214374.989272 1026700799.681839 0.067303 0.078219 10000
0.009 0.380 2322.628900 68.080100 4245 4499 0 486401952.958609 994170227.026877 0.134672 0.152299 10000
0.009 0.384 2430.071000 80.209500 4725 4986 0 548562502.055429 1051616400.970744 0.140829 0.151983 10000
0.009 0.388 2469.832100 93.493600 5162 5436 0 610803510.398964 1092749168.839130 0.151123 0.160916 10000
0.009 0.392 2511.637500 107.647300 5641 5911 0 639356207.570817 1064842099.505785 0.159651 0.168074 10000
0.012 0.378 2181.587000 54.193100 3793 4061 0 462073707.598089 1012157249.721967 0.113004 0.126536 10000
0.012 0.382 2327.203900 64.164200 4273 4555 0 490803986.066598 1005684211.185321 0.119715 0.135097 10000
0.012 0.386 2424.126000 75.388700 4741 5030 0 548723286.508513 1049870014.739166 0.125643 0.137460 10000
0.012 0.390 2464.563900 88.120200 5185 5477 0 605380933.841343 1075356901.885862 0.133881 0.142335 10000
0.012 0.394 2506.654200 101.811600 5658 5941 0 637903661.533145 1066378351.489828 0.152662 0.163170 10000
0.012 0.398 2529.414000 116.897500 6129 6417 0 659686960.863264 1039416832.783817 0.158735 0.165576 10000
0.015 0.376 2056.868500 43.691500 3408 3683 0 408700288.211244 936501908.351523 0.111881 0.126836 10000
0.015 0.380 2184.548700 51.663100 3818 4111 0 459252563.847771 1003783368.998630 0.125208 0.141273 10000
0.015 0.384 2331.271600 61.187700 4307 4610 0 491953414.103300 1003648149.182106 0.134258 0.150060 10000
0.015 0.388 2419.579900 71.782300 4763 5074 0 549293586.928412 1053184267.184657 0.145695 0.159264 10000
0.015 0.392 2459.018500 83.801700 5205 5515 0 599330193.913418 1058068434.998512 0.148606 0.158932 10000
0.015 0.396 2499.457400 96.953800 5689 6005 0 634559800.846686 1061106336.088901 0.158815 0.167528 10000
0.018 0.380 2123.883000 45.232300 3620 3933 0 428485585.374918 953971260.997750 0.124564 0.142547 10000
0.018 0.384 2262.224200 54.216300 4080 4403 0 473222675.639733 1000863000.573696 0.124938 0.140064 10000
0.018 0.388 2375.314800 63.255100 4553 4874 0 522304029.783294 1029000072.663680 0.132129 0.146521 10000
0.018 0.392 2435.682200 73.854700 4999 5324 0 582899134.021631 1071990078.495873 0.139854 0.152384 10000
0.018 0.396 2479.533200 85.949600 5459 5804 0 619342014.007703 1062103119.120178 0.149391 0.163030 10000
0.021 0.379 2031.675000 37.889800 3356 3685 0 395546353.240348 908212976.134608 0.114582 0.132068 10000
0.021 0.383 2166.982500 45.068900 3764 4110 0 441590053.626893 972595025.793678 0.124528 0.143498 10000
0.021 0.387 2300.681600 53.107700 4240 4585 0 486778896.946587 1013284199.088220 0.132945 0.148322 10000
0.021 0.391 2390.599000 62.491600 4686 5040 0 529001608.376582 1005991429.619625 0.141102 0.156070 10000
0.021 0.395 2436.624500 73.067400 5137 5512 0 591054871.067598 1065285425.807715 0.150673 0.158635 10000
0.024 0.381 2037.666700 36.029500 3385 3748 0 394301101.550870 897560520.799640 0.117416 0.134692 10000
0.024 0.385 2174.919100 42.791200 3800 4175 0 439597032.652275 970900742.221532 0.127051 0.146266 10000
0.024 0.389 2303.406100 50.589200 4259 4643 0 487302491.594589 1008810983.519984 0.119383 0.135542 10000
0.024 0.393 2384.572100 59.601000 4702 5095 0 526591373.331470 996051083.035536 0.126531 0.140331 10000
0.024 0.397 2432.800200 69.748500 5152 5554 0 591215370.119441 1066785936.655318 0.133394 0.143288 10000
0.024 0.401 2479.710500 81.015000 5640 6050 0 622785300.559329 1060317317.500841 0.137441 0.144843 10000
0.027 0.384 2077.931500 35.427800 3520 3920 0 404615084.887053 912587744.455796 0.113692 0.129210 10000
0.027 0.388 2215.025300 42.639600 3952 4363 0 450189449.771123 971732046.446654 0.121722 0.135865 10000
0.027 0.392 2327.363500 49.917000 4409 4830 0 501050268.802887 1013720262.666164 0.131825 0.146654 10000
0.027 0.396 2399.730400 58.662400 4851 5280 0 548432872.291437 1023333929.527546 0.079141 0.088764 10000
0.027 0.400 2445.864100 68.859200 5306 5748 0 583408641.162176 1021564338.923382 0.151702 0.162896 10000
0.027 0.404 2474.076400 80.355400 5765 6204 0 624380216.246796 1046537489.829693 0.154179 0.161787 10000
0.030 0.384 2012.919000 31.114200 3341 3769 0 389935289.817372 897476950.706869 0.113764 0.131401 10000
0.030 0.388 2157.825100 36.972900 3754 4190 0 422548712.933979 926706213.873448 0.124080 0.143795 10000
0.030 0.392 2278.449000 43.823600 4204 4652 0 477387225.178149 994385794.348022 0.071007 0.082720 10000
0.030 0.396 2350.165700 51.554200 4634 5098 0 524686014.804175 1014351864.647069 0.140842 0.154818 10000
0.030 0.400 2420.486500 60.453500 5099 5574 0 572341644.722048 1035560281.632838 0.148455 0.161836 10000
0.030 0.404 2463.669800 70.717100 5557 6040 0 606206267.726325 1041289367.910533 0.155832 0.167388 10000
0.033 0.385 1986.127900 28.202100 3276 3742 0 384280102.524190 894831182.226036 0.100365 0.114091 10000
0.033 0.389 2133.351200 33.644300 3683 4158 0 415900486.531134 931249846.681279 0.109436 0.126697 10000
