# mu sigma av_time av_div samples_div samples_multiple_eq samples_with_deaths av_m std_m  runtime_conv(s)  std_runtime_conv(s)  nsamples
0.000 0.450 1728.005400 20.347500 4019 4183 0 3371070128.621721 7624507695.457768 0.010988 0.015383 10000
0.000 0.454 1750.179400 22.055600 4270 4446 0 3628350433.615337 7943387314.312904 0.011226 0.015222 10000
0.000 0.458 1766.646000 23.719100 4502 4689 0 3682904848.245067 7652222486.200168 0.011797 0.016113 10000
0.000 0.462 1787.122800 25.548000 4742 4930 0 3840000886.388147 7787642621.943109 0.012264 0.016591 10000
0.000 0.466 1810.649900 27.542000 4989 5184 0 3915025474.685587 7706342890.815125 0.012753 0.017286 10000
0.000 0.470 1827.025200 29.533200 5244 5446 0 3991031562.304749 7598933520.075805 0.012962 0.017100 10000
0.003 0.454 1737.398600 20.379000 4129 4311 0 3473283251.574168 7759064626.203392 0.011167 0.015647 10000
0.003 0.458 1751.985000 22.074600 4368 4552 0 3613573884.362650 7614855661.133248 0.011533 0.015746 10000
0.003 0.462 1772.498900 23.668200 4614 4810 0 3730919682.472482 7710681122.221128 0.011859 0.015942 10000
0.003 0.466 1793.754100 25.555700 4865 5065 0 3779794515.950909 7443218830.436747 0.012186 0.016148 10000
0.003 0.470 1812.346100 27.427100 5109 5322 0 3897546337.655365 7500995435.476409 0.012661 0.016644 10000
0.003 0.474 1825.561800 29.419100 5350 5564 0 4052848827.474436 7712251523.102822 0.013106 0.017397 10000
0.006 0.462 1758.829500 22.116200 4481 4685 0 3627163126.628324 7570249545.475849 0.011647 0.015865 10000
0.006 0.466 1774.859100 23.897700 4723 4937 0 3767677153.730281 7665574003.115082 0.012053 0.016143 10000
0.006 0.470 1795.923200 25.760100 4967 5185 0 3805592565.225902 7398382841.131837 0.012459 0.016745 10000
0.006 0.474 1810.058800 27.614000 5205 5433 0 3916105236.181506 7428737702.190912 0.012959 0.017275 10000
0.006 0.478 1826.384600 29.461000 5461 5695 0 4046696088.727321 7536648788.090446 0.013201 0.017454 10000
0.006 0.482 1832.164400 31.279200 5688 5924 0 4160821262.900928 7734026338.467041 0.013926 0.018639 10000
0.009 0.454 1700.975400 17.648100 3876 4070 0 3196474227.497245 7365287997.779863 0.010628 0.014808 10000
0.009 0.458 1731.729800 19.081400 4106 4312 0 3430484034.562881 7568223630.275404 0.011199 0.015940 10000
0.009 0.462 1747.639900 20.680200 4353 4565 0 3557729926.165179 7653327066.399679 0.011300 0.015561 10000
0.009 0.466 1765.661100 22.099800 4593 4815 0 3686214508.710695 7594168159.532637 0.012477 0.016819 10000
0.009 0.470 1779.522400 23.860300 4833 5061 0 3759234290.627906 7476898635.879388 0.012195 0.016424 10000
0.009 0.474 1795.179200 25.666700 5072 5303 0 3870359618.973320 7587291561.366011 0.012595 0.016793 10000
0.012 0.458 1713.675800 17.672900 3976 4191 0 3226147127.603611 7221676230.824565 0.010989 0.015681 10000
0.012 0.462 1733.177200 19.181500 4230 4453 0 3461523455.022875 7610891914.584694 0.011084 0.015276 10000
0.012 0.466 1749.715700 20.717300 4460 4701 0 3561653793.205507 7481354250.701308 0.011549 0.015929 10000
0.012 0.470 1762.910000 22.184900 4706 4942 0 3700204582.328691 7473755685.910480 0.011747 0.015529 10000
0.012 0.474 1786.258800 23.926000 4945 5178 0 3777450928.721772 7440876108.071291 0.012332 0.016788 10000
0.012 0.478 1796.382000 25.799400 5186 5436 0 3879407320.036990 7504402124.196598 0.012598 0.016565 10000
0.015 0.466 1738.889400 19.448200 4340 4589 0 3491876239.281408 7574402818.850224 0.011204 0.015370 10000
0.015 0.470 1752.671200 20.837300 4571 4820 0 3616053880.131953 7503411323.925626 0.011580 0.015680 10000
0.015 0.474 1768.184200 22.418900 4806 5054 0 3722626228.025950 7501955502.651673 0.012183 0.016670 10000
0.015 0.478 1784.953900 24.208300 5057 5314 0 3796303339.826074 7391679978.086826 0.012336 0.016463 10000
0.015 0.482 1795.740500 25.885300 5278 5540 0 3910967888.021724 7461670645.469788 0.013229 0.017714 10000
0.015 0.486 1801.475900 27.785200 5525 5793 0 3999483031.200912 7431407425.626038 0.013164 0.017415 10000
0.018 0.466 1727.741300 18.157100 4214 4475 0 3389348160.095026 7386144311.801240 0.011027 0.015377 10000
0.018 0.470 1742.566200 19.549400 4442 4704 0 3485823437.150864 7351018456.721671 0.011466 0.015950 10000
0.018 0.474 1755.115800 20.903600 4670 4939 0 3696822899.292308 7565614265.978415 0.012002 0.016436 10000
0.018 0.478 1774.051400 22.561800 4922 5188 0 3733115276.159210 7374589557.105946 0.012194 0.016425 10000
0.018 0.482 1781.463000 24.259200 5153 5421 0 3753327222.630402 7125362094.136655 0.012593 0.016756 10000
0.018 0.486 1792.169000 26.085000 5384 5669 0 3904841079.406431 7287832201.879644 0.013081 0.017580 10000
0.021 0.470 1729.805900 18.306300 4324 4596 0 3413723484.959210 7383558604.355974 0.012556 0.019585 10000
0.021 0.474 1745.834400 19.608600 4557 4836 0 3507089824.908220 7232649893.920726 0.013002 0.020112 10000
0.021 0.478 1755.593600 21.052900 4782 5067 0 3655866535.711715 7325790873.370901 0.011595 0.015840 10000
0.021 0.482 1772.140900 22.928000 5036 5330 0 3733269631.516359 7242577739.668795 0.011607 0.015563 10000
0.021 0.486 1782.170900 24.556800 5253 5562 0 3812511088.628407 7378430701.727475 0.011448 0.015562 10000
0.021 0.490 1788.336500 26.239200 5482 5798 0 3977608601.104634 7497772157.528504 0.011960 0.016347 10000
0.024 0.466 1693.342700 15.604400 3946 4234 0 3171973713.125211 7175992051.478035 0.010199 0.014483 10000
0.024 0.470 1718.571400 17.023400 4191 4488 0 3324416979.054060 7246948565.456357 0.010494 0.015009 10000
0.024 0.474 1734.709900 18.444100 4432 4729 0 3448587168.227603 7387569039.099419 0.012788 0.020077 10000
0.024 0.478 1746.198200 19.733100 4656 4960 0 3648795742.663976 7557604037.272079 0.013455 0.020888 10000
0.024 0.482 1760.349500 21.331800 4895 5204 0 3654306663.659338 7173038907.242725 0.006593 0.009741 10000
0.024 0.486 1765.820000 23.074100 5129 5460 0 3739468917.684155 7329688384.470079 0.006689 0.009540 10000
0.027 0.466 1671.585900 14.718000 3820 4128 0 2999781074.249009 7007244583.211033 0.009578 0.013856 10000
0.027 0.470 1700.366600 15.840700 4059 4370 0 3262859079.974109 7260101921.918136 0.009845 0.014049 10000
0.027 0.474 1723.144300 17.235200 4308 4632 0 3360105129.575613 7270598296.351708 0.006405 0.009476 10000
0.027 0.478 1735.497200 18.623000 4535 4862 0 3494515909.884142 7261827407.722081 0.006395 0.009481 10000
0.027 0.482 1743.005800 19.996100 4757 5089 0 3632123037.848102 7316895748.833416 0.006791 0.009960 10000
0.027 0.486 1757.543800 21.676900 5005 5347 0 3678555730.233669 7269209566.902725 0.006632 0.009681 10000
0.030 0.470 1687.283900 14.847500 3939 4271 0 3102343565.426544 6997848912.983316 0.009195 0.013049 10000
0.030 0.474 1705.814300 16.211800 4168 4510 0 3261614814.690087 7090765290.770145 0.009606 0.013861 10000
0.030 0.478 1723.930200 17.643700 4420 4762 0 3383711731.362906 7234962956.720796 0.009539 0.013178 10000
0.030 0.482 1730.291000 18.874000 4638 4992 0 3501807882.603079 7189075772.737483 0.009950 0.013534 10000
0.030 0.486 1741.908700 20.338400 4874 5229 0 3614718663.326229 7159955801.330486 0.010314 0.014222 10000
0.030 0.490 1751.723300 22.006700 5109 5471 0 3651375224.709392 7106607044.488615 0.010464 0.014031 10000
0.033 0.474 1691.373400 15.060200 4053 4415 0 3169396332.028588 6989740905.287280 0.009274 0.013198 10000
0.033 0.478 1714.800100 16.253900 4303 4663 0 3307788246.128559 7076422861.158737 0.009365 0.013336 10000
0.033 0.482 1717.825100 17.704900 4517 4890 0 3431587013.501501 7200522626.568163 0.009700 0.013330 10000
0.033 0.486 1731.853300 19.012300 4738 5117 0 3641923860.337273 7474472404.577407 0.010270 0.014483 10000
0.033 0.490 1740.804800 20.584300 4980 5362 0 3607755755.919074 7087638323.332744 0.010355 0.014182 10000
0.033 0.494 1750.620300 22.252600 5210 5606 0 3687597638.603467 7086846863.018284 0.010577 0.013996 10000
0.036 0.474 1675.549500 14.021300 3924 4310 0 3029022870.577070 6894412484.534274 0.009164 0.013319 10000
0.036 0.478 1695.265600 15.230400 4160 4544 0 3226902919.375395 7053363040.698754 0.009391 0.013372 10000
0.036 0.482 1712.172000 16.550600 4402 4798 0 3329395783.103555 6999061408.536052 0.010439 0.014517 10000
0.036 0.486 1720.889000 17.735600 4618 5028 0 3420396659.536683 6994724255.628357 0.009973 0.013996 10000
0.036 0.490 1727.357700 19.250000 4862 5265 0 3547106652.749498 7037542269.830789 0.010016 0.013545 10000
0.036 0.494 1741.504000 20.744200 5081 5503 0 3623588911.776074 7075883728.232439 0.006938 0.010132 10000
0.039 0.474 1651.576200 13.121100 3802 4204 0 2884062409.335502 6658222874.539649 0.006205 0.009437 10000
0.039 0.478 1686.591600 14.383400 4046 4458 0 3120744772.452105 6939728828.917660 0.005985 0.009142 10000
0.039 0.482 1703.915800 15.568100 4284 4707 0 3259635669.225245 7042865178.473772 0.006476 0.009755 10000
0.039 0.486 1704.137500 16.653800 4499 4931 0 3380433730.996126 7071151873.403132 0.006029 0.008913 10000
0.039 0.490 1720.478900 17.927300 4735 5172 0 3549469559.280491 7263564839.279189 0.006621 0.009804 10000
0.039 0.494 1724.286700 19.470500 4950 5388 0 3542145762.985986 6973656018.713676 0.006515 0.009554 10000
0.042 0.478 1667.365000 13.341400 3921 4358 0 2981814156.453029 6828629553.042348 0.005614 0.008728 10000
0.042 0.482 1688.960800 14.480800 4156 4597 0 3175833075.204810 6967056234.633730 0.006378 0.009694 10000
0.042 0.486 1695.432200 15.672600 4387 4833 0 3319075008.874712 7016576707.023795 0.006265 0.009192 10000
0.042 0.490 1707.167800 16.886600 4604 5064 0 3394790489.484620 7058208629.787070 0.006472 0.009679 10000
0.042 0.494 1716.331100 18.211000 4844 5309 0 3475168478.026415 6956932200.986980 0.006802 0.009677 10000
0.042 0.498 1732.220500 19.726600 5058 5527 0 3549541097.212308 6902135376.373257 0.007238 0.010520 10000
0.045 0.478 1643.132300 12.270100 3785 4254 0 2831518336.589366 6484708640.103622 0.005989 0.009519 10000
0.045 0.482 1676.571900 13.479700 4039 4506 0 3083119278.943523 6914352419.751143 0.005876 0.009107 10000
0.045 0.486 1691.439300 14.625700 4276 4753 0 3221368918.743358 6955019889.467561 0.006177 0.009163 10000
0.045 0.490 1694.063000 15.736300 4475 4954 0 3340343417.671171 6921800138.411995 0.013231 0.022020 10000
0.045 0.494 1709.065400 17.024000 4722 5210 0 3478330070.909143 7131923048.145296 0.013230 0.021519 10000
0.045 0.498 1714.970800 18.458500 4933 5418 0 3525610098.047586 7083778666.289490 0.006684 0.009766 10000
0.048 0.482 1659.437700 12.513800 3920 4415 0 2905665852.240698 6551317583.208369 0.006084 0.009232 10000
0.048 0.486 1676.783200 13.642900 4145 4643 0 3099135076.214911 6836963027.008819 0.006254 0.009547 10000
0.048 0.490 1682.494700 14.798000 4371 4866 0 3272600697.325701 6927720777.813062 0.006357 0.009268 10000
0.048 0.494 1700.629400 16.029200 4607 5112 0 3339980937.795380 6853510326.044708 0.006517 0.009520 10000
0.048 0.498 1706.041700 17.257100 4833 5343 0 3410826101.145668 6850362692.250958 0.006693 0.009523 10000
0.048 0.502 1717.836900 18.735500 5038 5550 0 3549311323.970883 6966235766.871309 0.007106 0.010391 10000
0.051 0.482 1633.098800 11.710700 3791 4310 0 2824854246.397431 6509063821.578927 0.006019 0.009244 10000
0.051 0.486 1666.853800 12.815000 4030 4550 0 2997491172.221697 6698552570.077518 0.005736 0.008874 10000
0.051 0.490 1682.553400 13.947500 4264 4793 0 3157158651.252172 6818714244.360223 0.005821 0.008877 10000
0.051 0.494 1685.455800 15.004500 4469 5004 0 3280142782.741838 6851372138.472677 0.010391 0.014750 10000
0.051 0.498 1697.060800 16.210300 4713 5255 0 3451709259.964013 7194455020.037564 0.010338 0.014104 10000
0.051 0.502 1706.997900 17.458500 4921 5461 0 3440752478.845201 6879252849.949900 0.011568 0.015826 10000
0.054 0.482 1604.691400 10.927900 3655 4196 0 2717156212.652742 6347500481.361661 0.009901 0.014897 10000
0.054 0.486 1649.090900 12.005300 3910 4460 0 2834874249.405369 6321894133.270967 0.005757 0.009047 10000
0.054 0.490 1674.221800 13.095100 4142 4698 0 3066531125.031751 6769634303.980803 0.006220 0.009484 10000
