0.000	0.418	0.422	2
0.003	0.418	0.422	2
0.006	0.422	0.426	2
0.009	0.422	0.426	2
0.012	0.422	0.426	2
0.015	0.422	0.426	2
0.018	0.422	0.426	2
0.021	0.422	0.426	2
0.024	0.426	0.430	2
0.027	0.426	0.430	2
0.030	0.426	0.430	2
0.033	0.426	0.430	2
0.036	0.426	0.430	2
0.039	0.426	0.430	2
0.042	0.426	0.430	2
0.045	0.426	0.430	2
0.048	0.430	0.434	2
0.051	0.430	0.434	2
0.054	0.430	0.434	2
0.057	0.430	0.434	2
0.060	0.430	0.434	2
0.063	0.430	0.434	2
0.066	0.430	0.434	2
0.069	0.430	0.434	2
0.072	0.430	0.434	2
0.075	0.430	0.434	2
0.078	0.430	0.434	2
0.081	0.434	0.438	2
0.084	0.434	0.438	2
0.087	0.434	0.438	2
0.090	0.434	0.438	2
0.093	0.434	0.438	2
0.096	0.434	0.438	2
0.099	0.434	0.438	2
0.102	0.434	0.438	2
0.105	0.434	0.438	2
0.108	0.434	0.438	2
0.111	0.434	0.438	2
0.114	0.434	0.438	2
0.117	0.434	0.438	2
0.120	0.434	0.438	2
0.123	0.434	0.438	2
0.126	0.438	0.442	2
0.129	0.434	0.438	2
0.132	0.434	0.438	2
0.135	0.438	0.442	2
0.138	0.438	0.442	2
0.141	0.438	0.442	2
0.144	0.438	0.442	2
0.147	0.438	0.442	2
0.150	0.438	0.442	2
0.153	0.438	0.442	2
0.156	0.438	0.442	2
0.159	0.438	0.442	2
0.162	0.438	0.442	2
0.165	0.438	0.442	2
0.168	0.434	0.438	2
0.171	0.434	0.438	2
0.174	0.434	0.438	2
0.177	0.434	0.438	2
0.180	0.434	0.438	2
0.183	0.434	0.438	2
0.186	0.434	0.438	2
0.189	0.434	0.438	2
0.192	0.430	0.434	2
0.195	0.430	0.434	2
0.198	0.430	0.434	2
0.201	0.430	0.434	2
0.204	0.430	0.434	2
0.207	0.430	0.434	2
0.210	0.426	0.430	2
0.213	0.426	0.430	2
0.216	0.426	0.430	2
0.219	0.426	0.430	2
0.222	0.422	0.426	1
0.225	0.422	0.426	1
0.228	0.422	0.426	1
0.231	0.418	0.422	1
0.234	0.418	0.422	1
0.237	0.418	0.422	1
0.240	0.414	0.418	1
0.243	0.414	0.418	1
0.246	0.410	0.414	1
0.249	0.410	0.414	1
0.252	0.406	0.410	1
0.255	0.402	0.406	1
0.258	0.402	0.406	1
0.261	0.398	0.402	1
0.264	0.394	0.398	1
0.267	0.390	0.394	1
0.270	0.386	0.390	1
0.273	0.382	0.386	1
0.276	0.378	0.382	1
0.279	0.370	0.374	1
0.282	0.366	0.370	1
0.285	0.358	0.362	1
0.288	0.354	0.358	1
0.291	0.346	0.350	1
0.294	0.342	0.346	1
0.297	0.334	0.338	1
0.300	0.326	0.330	1
0.303	0.318	0.322	1
0.306	0.314	0.318	1
0.309	0.306	0.310	1
0.312	0.294	0.298	1
0.315	0.286	0.290	1
0.318	0.278	0.282	1
0.321	0.270	0.274	1
0.324	0.262	0.266	1
0.327	0.254	0.258	1
0.330	0.242	0.246	1
0.333	0.232	0.236	1
0.336	0.224	0.228	1
0.339	0.212	0.216	1
0.342	0.204	0.208	1
0.345	0.192	0.196	1
0.348	0.180	0.184	1
0.351	0.172	0.176	1
0.354	0.160	0.164	1
