# mu sigma av_time av_div samples_div samples_multiple_eq samples_with_deaths av_m std_m  runtime_conv(s)  std_runtime_conv(s)  nsamples
0.000 0.332 1744.201100 136.607600 2301 2340 10000 33425275.692308 248312243.374985 0.016858 0.041575 10000
0.000 0.336 2011.794500 166.588600 2726 2775 10000 35626609.338203 223792554.715278 0.018182 0.041944 10000
0.000 0.340 2309.136800 201.155800 3181 3238 10000 44607421.914609 266393419.061574 0.023284 0.054254 10000
0.000 0.344 2617.191800 241.474200 3691 3756 10000 58603196.204674 338415527.837373 0.025892 0.058011 10000
0.000 0.348 2890.186400 285.454700 4209 4275 10000 66147742.051394 343832758.552059 0.028211 0.063901 10000
0.000 0.352 3164.371500 333.825700 4745 4817 10000 78746007.374121 372116366.588138 0.031431 0.068617 10000
0.000 0.356 3420.898500 386.824300 5296 5383 10000 85045285.661601 367409229.334736 0.034987 0.073079 10000
0.000 0.360 3651.255500 446.406300 5874 5969 10000 96709291.952449 433201837.921133 0.037677 0.076181 10000
0.000 0.364 3855.163600 510.599100 6414 6511 10000 105710168.426231 419568839.030759 0.043457 0.088368 10000
0.003 0.332 1740.370300 133.348800 2249 2291 10000 28528253.793286 213102564.170717 0.018736 0.048226 10000
0.003 0.336 2022.502500 162.404500 2675 2726 10000 34598138.450929 224702043.311075 0.033468 0.083630 10000
0.003 0.340 2329.494100 196.166000 3132 3192 10000 43445129.629218 279780904.346605 0.036161 0.082606 10000
0.003 0.344 2627.303500 235.425100 3619 3684 10000 48724702.854045 264387176.119099 0.041047 0.090207 10000
0.003 0.348 2927.545900 279.534900 4139 4209 10000 62891777.968446 334037745.123997 0.045684 0.105973 10000
0.003 0.352 3200.925900 326.996000 4665 4744 10000 66994516.739631 310761276.305511 0.050003 0.106698 10000
0.003 0.356 3462.129800 379.079600 5211 5306 10000 79599626.702941 358661971.622033 0.054271 0.108942 10000
0.003 0.360 3704.498000 437.668600 5790 5895 10000 93587768.474332 385013346.631927 0.061575 0.127142 10000
0.003 0.364 3936.225400 500.043200 6347 6447 10000 94181006.434272 369613575.431807 0.069333 0.144133 10000
0.006 0.332 1746.939000 130.545000 2207 2250 10000 28824906.208796 225284420.631105 0.024244 0.063725 10000
0.006 0.336 2029.814000 158.594700 2623 2676 10000 35400065.934054 245074466.568032 0.026455 0.067903 10000
0.006 0.340 2331.833100 192.020100 3067 3132 10000 35905453.254197 226882781.195147 0.029249 0.071394 10000
0.006 0.344 2636.701900 230.163500 3538 3605 10000 45590079.700176 262079026.477975 0.032927 0.079262 10000
0.006 0.348 2942.909600 273.059800 4043 4114 10000 57861264.896079 331167043.187995 0.036844 0.090033 10000
0.006 0.352 3234.579100 320.696300 4593 4674 10000 66913216.375935 346991170.630430 0.037730 0.086070 10000
0.006 0.356 3495.366100 370.971200 5119 5215 10000 76405656.189889 357260588.842890 0.041972 0.088020 10000
0.006 0.360 3782.777500 429.360600 5711 5818 10000 87092730.126663 379838098.018003 0.046942 0.103588 10000
0.006 0.364 3999.755400 490.517300 6274 6379 10000 90800789.335879 364627304.288560 0.048840 0.098350 10000
0.009 0.332 1743.075400 128.254300 2155 2200 10000 23872479.189615 183442847.348897 0.024260 0.063243 10000
0.009 0.336 2036.166600 155.474000 2567 2624 10000 32580837.680055 240735926.834182 0.026834 0.068686 10000
0.009 0.340 2336.651400 188.277200 3019 3086 10000 35122524.598845 233191649.371438 0.027990 0.065224 10000
0.009 0.344 2647.805500 225.669300 3474 3545 10000 41359311.754285 260244809.386394 0.031715 0.076529 10000
0.009 0.348 2959.480300 268.282500 3991 4063 10000 50957291.616133 294924888.181807 0.033115 0.067922 10000
0.009 0.352 3260.384700 314.727600 4515 4602 10000 61617879.336104 304277937.030881 0.037529 0.084303 10000
0.009 0.356 3539.549500 365.527900 5045 5145 10000 67795973.420167 318865007.134509 0.041140 0.087694 10000
0.009 0.360 3833.382900 422.050600 5621 5729 10000 76622938.645134 332711006.518100 0.046958 0.102880 10000
0.009 0.364 4050.577000 481.672900 6182 6295 10000 90544397.534784 372948969.931070 0.050990 0.109635 10000
0.012 0.332 1735.485500 125.512900 2115 2161 10000 23627363.451337 202528380.612398 0.023157 0.057164 10000
0.012 0.336 2030.802900 152.090500 2505 2563 10000 28403597.413482 226830893.797094 0.027016 0.071515 10000
0.012 0.340 2347.022500 184.095600 2965 3036 10000 34846511.032853 246149342.389041 0.028930 0.072571 10000
0.012 0.344 2643.011200 221.415500 3403 3475 10000 36682931.879877 234607982.295395 0.031764 0.078616 10000
0.012 0.348 2979.863300 262.352200 3925 4000 10000 50793083.858752 306616129.206484 0.033681 0.075991 10000
0.012 0.352 3288.172400 309.021800 4438 4533 10000 57929255.928711 327125590.063238 0.037296 0.084164 10000
0.012 0.356 3586.186500 359.979800 4993 5094 10000 63994689.751363 311675375.731608 0.031617 0.065617 10000
0.012 0.360 3873.529100 414.714500 5554 5671 10000 78409550.926474 359578491.097872 0.034993 0.073326 10000
0.012 0.364 4122.163600 474.532700 6120 6234 10000 92257966.241344 396717100.146848 0.038594 0.076001 10000
0.015 0.332 1740.301000 123.405900 2080 2128 10000 20406218.610865 179462908.158599 0.017147 0.044876 10000
0.015 0.336 2023.644800 149.701200 2452 2512 10000 26163565.664461 209605050.541377 0.019897 0.051436 10000
