# mu sigma av_time av_div samples_div samples_multiple_eq samples_with_deaths av_m std_m nsamples
-0.800 0.000 79.249600 256.000000 10000 10000 0 31701586540.000000 4503216236.044102 10000
-0.800 0.010 79.206700 256.000000 10000 10000 0 31270694120.000000 3991405703.356935 10000
-0.800 0.020 79.138900 256.000000 10000 10000 0 30684196090.000000 3129499557.342392 10000
-0.800 0.030 79.081500 256.000000 10000 10000 0 30341417560.000000 2530787200.169923 10000
-0.800 0.040 79.005500 256.000000 10000 10000 0 29986235680.000000 2621561116.491971 10000
-0.800 0.050 78.853300 256.000000 10000 10000 0 29075024360.000000 3061328258.603688 10000
-0.800 0.060 78.634400 256.000000 10000 10000 0 27697784786.000000 3317092147.012827 10000
-0.800 0.070 78.406200 256.000000 10000 10000 0 26375345586.000000 3349913141.610504 10000
-0.800 0.080 78.161400 256.000000 10000 10000 0 25078291328.000000 3422551056.158380 10000
-0.800 0.090 77.898400 256.000000 10000 10000 0 23791187953.000000 3516404588.459005 10000
-0.800 0.100 77.626000 256.000000 10000 10000 0 22577453927.000000 3575031062.438406 10000
-0.800 0.110 77.343700 256.000000 10000 10000 0 21434667529.000000 3642023943.364987 10000
-0.800 0.120 77.027700 256.000000 10000 10000 0 20205754651.000000 3689688789.890714 10000
-0.800 0.130 76.727800 256.000000 10000 10000 0 19202564617.000000 3721196909.390986 10000
-0.800 0.140 76.392700 256.000000 10000 10000 0 18114584939.000000 3751487462.969025 10000
-0.800 0.150 76.050400 256.000000 10000 10000 0 17098112170.000000 3734945703.921986 10000
-0.750 0.000 88.997600 256.000000 10000 10000 0 38390447300.000000 493360106.235613 10000
-0.750 0.010 88.987400 256.000000 10000 10000 0 38368354450.000000 1255926477.266297 10000
-0.750 0.020 88.846000 256.000000 10000 10000 0 37227335550.000000 3087684334.942544 10000
-0.750 0.030 88.562900 256.000000 10000 10000 0 34831444990.000000 3704061272.920576 10000
-0.750 0.040 88.312200 256.000000 10000 10000 0 32928378030.000000 3381108093.494222 10000
-0.750 0.050 88.078800 256.000000 10000 10000 0 31427624463.000000 3321589248.154685 10000
