# mu sigma av_time av_div samples_div samples_multiple_eq samples_with_deaths av_m std_m  runtime_conv(s)  std_runtime_conv(s)  nsamples
0.000 0.372 2119.473700 88.096400 3003 3056 10000 174480143.629248 1019040199.244813 0.002333 0.007403 10000
0.000 0.376 2309.236500 98.018800 3335 3384 10000 186865710.298903 1135084712.837200 0.002534 0.007154 10000
0.000 0.380 2473.278700 108.009300 3662 3717 10000 206076929.588998 1110585087.627970 0.003632 0.009993 10000
0.000 0.384 2665.969500 118.846700 4036 4100 10000 243331051.782143 1330893675.159456 0.004071 0.011394 10000
0.000 0.388 2839.201900 131.363000 4414 4490 10000 237064802.417833 1083267174.816165 0.004302 0.010811 10000
0.000 0.392 3025.586500 143.318000 4818 4901 10000 301792570.991561 1410329664.751553 0.004275 0.009931 10000
0.000 0.396 3167.862200 155.767500 5182 5271 10000 287148956.410925 1256795100.056995 0.005006 0.012941 10000
0.000 0.400 3344.736900 168.833100 5584 5670 10000 316331953.464184 1455509335.932794 0.005169 0.012819 10000
0.000 0.404 3488.437800 182.033000 5977 6069 10000 341088680.447340 1422630515.952831 0.005576 0.013662 10000
0.003 0.372 2133.959400 86.662800 2934 2991 10000 169446543.440136 1111938583.014413 0.003208 0.010578 10000
0.003 0.376 2305.518100 96.721800 3262 3314 10000 172639807.579139 1020163435.959145 0.003246 0.009403 10000
0.003 0.380 2505.161500 106.432300 3611 3670 10000 193928955.952662 1121581090.181854 0.003521 0.010161 10000
0.003 0.384 2681.380700 116.944500 3960 4028 10000 220472622.784179 1165066038.447585 0.004025 0.011406 10000
0.003 0.388 2881.479300 129.547400 4368 4448 10000 237920298.700477 1169543124.747986 0.004130 0.011112 10000
0.003 0.392 3053.171000 141.067300 4715 4806 10000 257414474.158591 1296233589.565039 0.004587 0.011848 10000
0.003 0.396 3218.185200 153.619200 5129 5224 10000 296353728.766006 1344051994.542123 0.004882 0.013385 10000
0.003 0.400 3375.657200 166.629500 5510 5598 10000 297848976.406777 1321423316.177898 0.005186 0.012834 10000
0.003 0.404 3530.626500 180.257200 5908 6004 10000 332212138.070782 1417965910.201427 0.005252 0.011367 10000
0.006 0.372 2152.564400 85.917300 2887 2945 10000 156001806.654963 1062531353.270533 0.002949 0.008984 10000
0.006 0.376 2325.292700 95.930300 3222 3279 10000 181797142.328573 1178025416.040917 0.003008 0.008608 10000
0.006 0.380 2521.673400 105.618200 3558 3621 10000 189905127.336712 1120782619.868580 0.003481 0.010001 10000
0.006 0.384 2713.960600 116.106700 3911 3978 10000 203775208.476893 1136098242.494557 0.003882 0.010989 10000
0.006 0.388 2914.690200 128.306100 4304 4386 10000 237536401.047029 1274759388.135288 0.004067 0.011205 10000
