# N c mu sigma av_time av_div error_av_div samples_div nsamples prob_div error_prob av_m error_av_m
1024 1250 3000 0 3221.034200 3.400100 0.074783 3211 10000 0.321100 0.004669 0.519733 0.000102
1024 1305 1500 0 3518.036300 4.151400 0.088229 3508 10000 0.350800 0.004772 0.510453 0.000104
1024 1305 3000 0 3468.015900 4.031600 0.085708 3458 10000 0.345800 0.004756 0.510511 0.000103
1024 1359 1500 0 3781.075600 4.619700 0.093652 3771 10000 0.377100 0.004847 0.501985 0.000105
1024 1359 3000 0 3730.048600 4.512700 0.092015 3720 10000 0.372000 0.004833 0.502037 0.000105
1024 1414 1500 0 4019.123300 5.465600 0.108177 4009 10000 0.400900 0.004901 0.493498 0.000107
1024 1414 3000 0 3947.116300 5.313300 0.106220 3937 10000 0.393700 0.004886 0.493572 0.000107
1024 1468 1500 0 4195.214500 6.467200 0.129409 4185 10000 0.418500 0.004933 0.485343 0.000112
1024 1468 3000 0 4105.245000 6.241900 0.126465 4095 10000 0.409500 0.004917 0.485451 0.000111
1024 1522 1500 0 4538.947500 7.303200 0.136181 4529 10000 0.452900 0.004978 0.477438 0.000114
1024 1522 3000 0 4450.957600 7.064800 0.132029 4441 10000 0.444100 0.004969 0.477556 0.000112
1024 1577 1500 0 4699.135100 8.551500 0.156190 4689 10000 0.468900 0.004990 0.469520 0.000118
1024 1577 3000 0 4612.145700 8.248700 0.152652 4602 10000 0.460200 0.004984 0.469662 0.000117
1024 1631 1500 0 4969.949300 10.020200 0.179128 4960 10000 0.496000 0.005000 0.462162 0.000126
1024 1631 3000 0 4867.003700 9.634500 0.174505 4857 10000 0.485700 0.004998 0.462348 0.000125
1024 1685 1500 0 5088.202600 11.648000 0.209265 5078 10000 0.507800 0.004999 0.454672 0.000137
1024 1685 3000 0 4974.267600 11.163000 0.203194 4964 10000 0.496400 0.005000 0.454903 0.000135
1024 1740 1500 0 5339.026300 13.535200 0.236402 5329 10000 0.532900 0.004989 0.447456 0.000146
1024 1740 3000 0 5233.095800 12.907400 0.227496 5223 10000 0.522300 0.004995 0.447755 0.000143
1024 1794 1500 0 5664.643000 15.864500 0.264489 5655 10000 0.565500 0.004957 0.440212 0.000158
1024 1794 3000 0 5553.708500 15.114300 0.255428 5544 10000 0.554400 0.004970 0.440571 0.000155
1024 1848 1500 0 5803.891800 18.589100 0.304868 5794 10000 0.579400 0.004937 0.433006 0.000173
1024 1848 3000 0 5660.032300 17.597900 0.292380 5650 10000 0.565000 0.004958 0.433480 0.000168
1024 1903 1500 0 6130.466200 22.288700 0.355243 6121 10000 0.612100 0.004873 0.425431 0.000193
