0.001	0.352	0.354	1
0.002	0.350	0.352	1
0.003	0.336	0.338	1
0.004	0.320	0.322	1
0.005	0.306	0.308	1
0.006	0.294	0.296	1
0.007	0.280	0.282	1
0.008	0.268	0.270	1
0.009	0.258	0.260	1
0.010	0.246	0.248	1
0.011	0.234	0.236	1
0.012	0.224	0.226	1
0.013	0.212	0.214	1
0.014	0.202	0.204	1
0.015	0.192	0.194	1
0.016	0.182	0.184	1
0.017	0.170	0.172	1
0.018	0.160	0.162	1
0.019	0.150	0.152	2
0.020	0.140	0.142	2
0.021	0.130	0.132	1
0.022	0.122	0.124	1
0.023	0.114	0.116	1
0.024	0.108	0.110	2
0.025	0.100	0.102	1
0.026	0.094	0.096	1
0.027	0.088	0.090	1
0.028	0.084	0.086	2
0.029	0.080	0.082	2
0.030	0.074	0.076	1
0.031	0.072	0.074	2
0.032	0.068	0.070	1
0.033	0.066	0.068	2
0.034	0.064	0.066	2
0.035	0.062	0.064	1
0.036	0.062	0.064	1
0.037	0.062	0.064	1
0.038	0.064	0.066	2
0.039	0.066	0.068	1
0.040	0.070	0.072	1
0.041	0.074	0.076	1
0.042	0.082	0.084	1
0.043	0.092	0.094	1
0.044	0.106	0.108	1
0.045	0.122	0.124	1
0.046	0.144	0.146	1
0.047	0.170	0.172	1
0.048	0.202	0.204	1
0.049	0.242	0.244	1
0.050	0.292	0.294	1
0.051	0.352	0.354	1
0.052	0.424	0.426	1
0.053	0.510	0.512	1
0.054	0.612	0.614	1
0.055	0.732	0.734	1
