0.001	0.000	0.000	0.348	0.350	0.352	0.354
0.002	0.000	0.000	0.334	0.336	0.344	0.346
0.003	0.000	0.000	0.322	0.324	0.334	0.336
0.004	0.000	0.000	0.312	0.314	0.334	0.336
0.005	0.000	0.000	0.300	0.302	0.334	0.336
0.006	0.000	0.000	0.288	0.290	0.000	0.000
0.007	0.000	0.000	0.276	0.278	0.334	0.336
0.008	0.000	0.000	0.264	0.266	0.336	0.338
0.009	0.000	0.000	0.254	0.256	0.000	0.000
0.010	0.000	0.000	0.242	0.244	0.000	0.000
0.011	0.000	0.000	0.232	0.234	0.000	0.000
0.012	0.000	0.000	0.220	0.222	0.000	0.000
0.013	0.000	0.000	0.210	0.212	0.000	0.000
0.014	0.000	0.000	0.200	0.202	0.000	0.000
0.015	0.000	0.000	0.188	0.190	0.000	0.000
0.016	0.000	0.000	0.180	0.182	0.000	0.000
0.017	0.000	0.000	0.170	0.172	0.000	0.000
0.018	0.000	0.000	0.160	0.162	0.000	0.000
0.019	0.000	0.000	0.150	0.152	0.000	0.000
0.020	0.000	0.000	0.140	0.142	0.000	0.000
0.021	0.000	0.000	0.130	0.132	0.000	0.000
0.022	0.000	0.000	0.122	0.124	0.000	0.000
0.023	0.000	0.000	0.114	0.116	0.000	0.000
0.024	0.000	0.000	0.108	0.110	0.000	0.000
0.025	0.000	0.000	0.100	0.102	0.000	0.000
0.026	0.000	0.000	0.094	0.096	0.000	0.000
0.027	0.000	0.000	0.088	0.090	0.000	0.000
0.028	0.000	0.000	0.084	0.086	0.000	0.000
0.029	0.000	0.000	0.080	0.082	0.000	0.000
0.030	0.000	0.000	0.074	0.076	0.000	0.000
0.031	0.000	0.000	0.072	0.074	0.000	0.000
0.032	0.000	0.000	0.068	0.070	0.000	0.000
0.033	0.000	0.000	0.066	0.068	0.000	0.000
0.034	0.000	0.000	0.064	0.066	0.000	0.000
0.035	0.000	0.000	0.062	0.064	0.000	0.000
0.036	0.000	0.000	0.062	0.064	0.000	0.000
0.037	0.000	0.000	0.062	0.064	0.000	0.000
0.038	0.000	0.000	0.064	0.066	0.000	0.000
0.039	0.000	0.000	0.066	0.068	0.000	0.000
0.040	0.000	0.000	0.070	0.072	0.000	0.000
0.041	0.000	0.000	0.074	0.076	0.000	0.000
0.042	0.000	0.000	0.082	0.084	0.000	0.000
0.043	0.000	0.000	0.092	0.094	0.000	0.000
0.044	0.000	0.000	0.106	0.108	0.000	0.000
0.045	0.000	0.000	0.122	0.124	0.000	0.000
0.046	0.000	0.000	0.144	0.146	0.000	0.000
0.047	0.000	0.000	0.170	0.172	0.000	0.000
0.048	0.000	0.000	0.202	0.204	0.000	0.000
0.049	0.000	0.000	0.244	0.246	0.000	0.000
0.050	0.000	0.000	0.292	0.294	0.000	0.000
0.051	0.000	0.000	0.352	0.354	0.000	0.000
0.052	0.000	0.000	0.424	0.426	0.000	0.000
0.053	0.000	0.000	0.510	0.512	0.000	0.000
0.054	0.000	0.000	0.610	0.612	0.000	0.000
0.055	0.000	0.000	0.730	0.732	0.000	0.000
