#N  c  mu  sigma  av_time_conv  std_time_conv  samples_div  samples_mult_eq  prob_div  error_prob  runtime(s)  std_runtime(s)  nsamples
1024 1520 1100 0 238.170193 192.877363 107 0 0.010647 0.001024 0.108839 0.068745 10050
1024 1520 1500 0 90.213354 31.967299 687 0 0.068358 0.002517 0.095293 0.029896 10050
1024 1520 3000 0 79.407429 96.151169 1816 0 0.180697 0.003838 0.184061 0.185583 10050
1024 1520 800 0 1532.455629 475.956756 0 0 0.000000 0.000000 0.250280 0.077003 10050
1024 1630 800 0 1576.502324 455.081398 0 0 0.000000 0.000000 0.254686 0.073566 10050
1024 1630 1100 0 248.867382 224.315902 150 0 0.014925 0.001210 0.121648 0.085200 10050
1024 1630 1500 0 97.842755 96.349997 850 0 0.084577 0.002776 0.106740 0.128881 10050
1024 1630 3000 0 86.632179 102.397134 2201 0 0.219005 0.004125 0.209087 0.222625 10050
1024 1630 900 0 1836.294850 351.056485 0 0 0.000000 0.000000 0.381343 0.084566 10050
1024 1740 800 0 1609.239555 446.282082 0 0 0.000000 0.000000 0.286936 0.081470 10050
1024 1740 900 0 1878.074691 352.376913 0 0 0.000000 0.000000 0.408987 0.088371 10050
1024 1740 1500 0 104.196866 112.135975 1033 0 0.102786 0.003029 0.120401 0.149674 10050
1024 1740 3000 0 97.132355 160.694433 2429 0 0.241692 0.004270 0.243019 0.365167 10050
1024 1740 1100 0 261.184839 252.499915 238 0 0.023682 0.001517 0.132876 0.099026 10050
1024 1850 800 0 1648.733120 424.606958 1 0 0.000100 0.000099 0.288871 0.076672 10050
1024 1850 900 0 1913.087226 366.858212 0 0 0.000000 0.000000 0.433795 0.093444 10050
1024 1850 1100 0 278.339366 291.788754 347 0 0.034527 0.001821 0.149012 0.119859 10050
1024 1850 3000 0 111.155508 214.267953 2767 0 0.275323 0.004456 0.287055 0.517104 10050
1024 1850 1500 0 112.650593 130.570773 1310 0 0.130348 0.003358 0.134619 0.169925 10050
1024 1960 800 0 1686.079307 407.462771 0 0 0.000000 0.000000 0.354829 0.091069 10050
1024 1960 900 0 1951.283563 385.458447 0 0 0.000000 0.000000 0.458830 0.100711 10050
1024 1960 1100 0 301.369557 345.881665 433 0 0.043085 0.002025 0.164633 0.142985 10050
1024 1960 1500 0 119.857780 135.021748 1492 0 0.148458 0.003547 0.149014 0.190674 10050
1024 1960 3000 0 120.591323 228.670462 3208 0 0.319204 0.004650 0.319453 0.558393 10050
1024 2070 800 0 1713.955215 397.710767 0 0 0.000000 0.000000 0.369658 0.091397 10050
1024 2070 900 0 1979.839660 401.782690 8 0 0.000796 0.000281 0.483718 0.108049 10050
1024 2070 1100 0 313.511918 365.055659 560 0 0.055721 0.002288 0.174514 0.152681 10050
1024 2070 1500 0 132.894244 199.790075 1805 0 0.179602 0.003829 0.171556 0.306479 10050
1024 2070 3000 0 136.108856 251.338186 3644 0 0.362587 0.004795 0.372047 0.634961 10050
1024 2170 900 0 2020.893719 433.551005 9 0 0.000896 0.000298 0.509369 0.117742 10050
1024 2170 1100 0 328.855228 380.142231 773 0 0.076915 0.002658 0.186232 0.159996 10050
1024 2170 1500 0 141.162298 189.385511 2172 0 0.216119 0.004106 0.188915 0.296424 10050
1024 2170 3000 0 143.376631 264.630236 3973 0 0.395323 0.004877 0.404693 0.734089 10050
1024 2170 800 0 1737.974020 393.674976 0 0 0.000000 0.000000 0.349951 0.083985 10050
1024 2280 800 0 1768.733971 383.882659 0 0 0.000000 0.000000 0.355104 0.082553 10050
1024 2280 1100 0 365.553901 453.863752 988 0 0.098308 0.002970 0.216365 0.199105 10050
1024 2280 1500 0 158.504407 291.772053 2509 0 0.249652 0.004317 0.240186 0.514986 10050
1024 2280 3000 0 164.195467 304.584402 4423 0 0.440100 0.004952 0.427820 0.769158 10050
1024 2280 900 0 2053.328874 430.711553 8 0 0.000796 0.000281 0.533279 0.119908 10050
1024 2390 800 0 1800.492155 390.391630 0 0 0.000000 0.000000 0.385829 0.089233 10050
1024 2390 900 0 2082.760561 444.227610 15 0 0.001493 0.000385 0.556719 0.124782 10050
